# Arabidopsis MAGIC phenotype data, Gnan et al (2014) 10.1534/genetics.114.170746
# nrow 677
# ncol 9
id,bolting_days,seed_weight,seed_area,ttl_seedspfruit,branches,height,pc_seeds_aborted,fruit_length
MAGIC.1,15.33,17.15,0.64,45.11,10.5,NA,0,14.95
MAGIC.2,22,22.71,0.75,49.11,4.33,42.33,1.09,13.27
MAGIC.3,23,21.03,0.68,57,4.67,50,0,13.9
MAGIC.4,18.67,22.45,0.74,54.33,6.33,NA,0.23,15.93
MAGIC.5,18.67,25.36,0.82,38.33,5.67,42.25,0,12.81
MAGIC.6,25,21.53,0.71,52,4.33,NA,0,12.27
MAGIC.7,15.33,20.92,0.71,39,4,37.35,0.49,11.49
MAGIC.8,14.33,24.2,0.79,50.56,7.33,43.23,2.04,15.53
MAGIC.9,16.33,18.86,0.63,75.78,5.33,42.4,0,17.56
MAGIC.10,30,30.46,0.91,56.33,3,48.5,0.41,18.63
MAGIC.11,14,20.58,0.66,41.56,5.67,36.25,0,14.14
MAGIC.12,21.33,19.05,0.67,52.33,4.67,49.35,0,13.66
MAGIC.14,18.67,21.14,0.72,49.78,6,48.5,0.98,17.05
MAGIC.15,15,21.71,0.73,49,6.33,41.9,0,15.18
MAGIC.16,18.33,21.37,0.71,66.67,3.33,18.17,0.67,13.26
MAGIC.17,20.33,22.67,0.76,51,3.33,48.1,1.67,14.7
MAGIC.18,21,23.31,0.78,47.56,5,39.25,0,13.43
MAGIC.19,19.67,24.19,0.77,54.78,6.33,44.35,0,15.12
MAGIC.20,17,25.26,0.88,27,6.67,27.55,0,8.79
MAGIC.21,22.33,26.04,0.85,47.78,5.33,NA,1.16,14.46
MAGIC.22,22.33,24.81,0.82,55.89,3.33,47.6,0.24,16
MAGIC.23,21,21.31,0.67,59.67,3.33,38.5,0.35,13.92
MAGIC.24,18.33,21.55,0.71,58.56,5.33,21.45,0.79,12.65
MAGIC.25,21.67,23.03,0.73,64.78,6.67,47.23,0,18.69
MAGIC.26,16,19.46,0.69,56.22,7.67,NA,10.63,14.3
MAGIC.27,18.33,22.3,0.73,60.33,3.67,54.65,0,18.67
MAGIC.28,21.67,20.19,0.7,44.11,6.33,NA,2.12,11.8
MAGIC.29,16.67,17.91,0.62,58.33,5.33,45.5,0,14.8
MAGIC.30,24.67,24.27,0.79,50.44,8,41.75,0.19,12.69
MAGIC.31,40,20.87,0.74,46.11,6.17,26.17,0.54,15.29
MAGIC.32,21.67,27.91,0.88,45.06,4.67,NA,6.29,15.06
MAGIC.33,18.67,23.39,0.79,49.67,6.67,52.25,1.17,15.65
MAGIC.34,16.33,18.64,0.68,50.78,4.67,40.33,0,14.7
MAGIC.35,16.33,21.65,0.75,62.17,7.33,NA,0.66,15.58
MAGIC.36,28.33,28.76,0.94,44.78,4.33,NA,0.22,16.18
MAGIC.37,18.33,24.04,0.78,47.11,6.33,42.5,0.27,14.32
MAGIC.38,15.33,22.6,0.73,65.11,6.33,NA,0.18,14.64
MAGIC.39,22.33,26.93,0.85,53.78,4,44.3,0,15.26
MAGIC.40,17.67,24.61,0.77,69,4,44.67,1.12,17
MAGIC.41,15,22.05,0.72,53.78,6.33,33.5,0,12.15
MAGIC.42,16.33,21.85,0.72,61.39,4,37.83,0,17.26
MAGIC.43,23,22.41,0.75,35.39,4,39.93,1.56,12.85
MAGIC.44,17.67,18.82,0.68,57.11,4.33,45.17,0.25,15.3
MAGIC.45,23.67,23.89,0.78,57.56,4,NA,0,14.85
MAGIC.46,19.33,22,0.74,43.33,6,35.37,0.84,14.3
MAGIC.47,18.67,22.47,0.72,61.33,5.67,43.25,0,16.48
MAGIC.48,19,22.17,0.73,56.67,4.67,31.75,0.84,15.48
MAGIC.49,20.33,21.72,0.72,53.33,5,43.75,3.22,14.85
MAGIC.50,23.33,26.08,0.8,54.56,4.33,42.87,0.63,16.34
MAGIC.51,19,12.71,0.48,79.22,4.33,18.2,0.7,10.08
MAGIC.52,22,22.64,0.78,39.33,5,NA,0.25,12.9
MAGIC.53,20.33,21.78,0.72,58.22,7.67,39.57,0.61,14.69
MAGIC.54,17,17.65,0.65,61.44,6.33,33.25,0,14.86
MAGIC.55,21.67,19.8,0.67,51.44,3.33,47.67,0,16.81
MAGIC.56,18.67,22.79,0.71,65.56,4,49.33,0.17,17.75
MAGIC.57,14.33,20.23,0.71,45.22,5.67,38.2,0,13.87
MAGIC.58,19.33,20.43,0.69,64.56,3.83,NA,0,17.79
MAGIC.59,14.33,20.9,0.71,51.22,5.67,NA,0.24,14.14
MAGIC.60,19,27.25,0.74,59.67,4.5,47.4,0,13.8
MAGIC.61,16.5,22.27,0.76,43.78,5,34.4,0,18.14
MAGIC.62,15.67,18.85,0.67,58.33,6,NA,0.33,15.63
MAGIC.63,19,21.61,0.72,56.78,5,47.8,0,16.73
MAGIC.64,40.67,11.78,0.54,42.22,8,23.93,1.78,13.43
MAGIC.65,19.33,18.18,0.61,63.33,6.33,NA,0.34,15.48
MAGIC.66,19.33,23.7,0.79,60.78,4.5,NA,0.35,13.96
MAGIC.67,17,21.69,0.77,39.89,6.33,NA,0.82,15.41
MAGIC.68,17.67,21.97,0.74,57.56,4.67,NA,0,16.63
MAGIC.69,18,23.24,0.71,63.89,4,48.8,0.17,15.25
MAGIC.70,21.33,23.99,0.65,48.56,6,42.8,0,12.18
MAGIC.71,21,18.85,0.63,59.22,3.67,45.6,0,16.6
MAGIC.72,19.67,25.16,0.79,62.19,5,NA,0.33,17.43
MAGIC.73,26.67,29,0.85,54.89,4,55.25,0.57,16.48
MAGIC.74,19,20.92,0.7,60.89,6.33,39.17,0.75,17.23
MAGIC.75,21.67,22.87,0.74,54.33,4.67,48.85,0.21,15.82
MAGIC.77,17.33,19.98,0.69,55,5.33,38.5,0.25,15.29
MAGIC.78,19,21.44,0.69,83.78,7,44.85,0.29,15.38
MAGIC.79,20.33,20.3,0.65,63.89,5.67,22.83,0.51,12.91
MAGIC.80,28.67,27.1,0.85,51.33,6,52.25,0,14.79
MAGIC.81,21,24.53,0.78,61.44,3.67,46.97,0.35,16.52
