# Covariate data for Alan Attie B6xBTBR cross
# nrow 544
# ncol 9
MouseNum,Sex,pgm,adipose_batch,gastroc_batch,hypo_batch,islet_batch,kidney_batch,liver_batch
Mouse3051,Male,1,12/19/2007,8/11/2008,11/26/2007,11/28/2007,07/15/2008,other
Mouse3551,Male,1,12/19/2007,8/12/2008,11/27/2007,12/03/2007,07/16/2008,12/10/2007
Mouse3430,Male,1,12/19/2007,8/12/2008,11/27/2007,12/03/2007,07/15/2008,12/05/2007
Mouse3476,Male,1,12/19/2007,8/12/2008,11/27/2007,12/03/2007,07/16/2008,12/05/2007
Mouse3414,Male,1,12/18/2007,8/11/2008,11/26/2007,11/28/2007,07/15/2008,12/05/2007
Mouse3145,Female,1,12/19/2007,8/11/2008,NA,11/28/2007,07/15/2008,12/10/2007
Mouse3346,Male,1,12/18/2007,8/11/2008,NA,11/28/2007,07/15/2008,12/05/2007
Mouse3656,Female,1,12/19/2007,8/12/2008,11/27/2007,12/03/2007,07/16/2008,12/10/2007
Mouse3242,Male,1,12/19/2007,8/11/2008,11/26/2007,11/28/2007,07/15/2008,12/10/2007
Mouse3427,Female,1,other,8/12/2008,11/27/2007,12/03/2007,07/15/2008,12/05/2007
Mouse3527,Female,1,12/19/2007,8/12/2008,11/27/2007,12/03/2007,07/16/2008,12/05/2007
Mouse3281,Male,1,12/19/2007,8/11/2008,11/26/2007,11/28/2007,07/15/2008,12/10/2007
Mouse3406,Male,1,NA,NA,NA,NA,07/15/2008,NA
Mouse3530,Male,1,12/19/2007,8/12/2008,11/27/2007,12/03/2007,07/16/2008,12/10/2007
Mouse3477,Male,1,12/19/2007,8/12/2008,11/27/2007,12/03/2007,07/16/2008,12/10/2007
Mouse3498,Male,1,12/19/2007,8/12/2008,other,12/03/2007,07/16/2008,12/05/2007
Mouse3240,Male,1,NA,NA,NA,NA,NA,NA
Mouse3526,Female,1,12/19/2007,other,11/27/2007,12/03/2007,NA,12/10/2007
Mouse3286,Female,1,12/19/2007,8/11/2008,11/26/2007,11/28/2007,07/15/2008,12/10/2007
Mouse3284,Male,1,12/19/2007,8/11/2008,11/26/2007,other,07/15/2008,12/05/2007
Mouse3160,Male,1,12/19/2007,8/11/2008,NA,11/28/2007,07/15/2008,12/05/2007
Mouse3655,Female,1,12/19/2007,8/12/2008,11/27/2007,12/03/2007,07/16/2008,other
Mouse3615,Female,1,12/19/2007,8/12/2008,11/27/2007,12/03/2007,07/16/2008,12/10/2007
Mouse3491,Female,1,12/19/2007,8/12/2008,other,12/03/2007,07/16/2008,12/05/2007
Mouse3603,Male,1,12/19/2007,8/12/2008,NA,12/03/2007,07/16/2008,12/05/2007
Mouse3191,Female,1,12/19/2007,8/11/2008,NA,11/28/2007,07/15/2008,12/05/2007
Mouse3130,Male,1,12/19/2007,8/11/2008,11/26/2007,other,07/15/2008,12/10/2007
Mouse3331,Male,1,12/18/2007,8/11/2008,11/26/2007,11/28/2007,07/15/2008,12/05/2007
Mouse3199,Male,1,12/19/2007,8/11/2008,11/26/2007,11/28/2007,07/15/2008,12/05/2007
Mouse3614,Male,1,12/19/2007,8/12/2008,11/27/2007,12/03/2007,07/16/2008,12/05/2007
Mouse3230,Male,1,NA,NA,NA,NA,07/15/2008,NA
Mouse3577,Female,1,12/19/2007,8/12/2008,11/27/2007,12/03/2007,07/16/2008,12/10/2007
Mouse3081,Male,1,12/19/2007,8/11/2008,11/26/2007,11/28/2007,07/16/2008,12/05/2007
Mouse3204,Female,1,12/19/2007,8/11/2008,11/26/2007,11/28/2007,07/15/2008,12/10/2007
Mouse3513,Female,1,other,8/12/2008,11/27/2007,12/03/2007,07/16/2008,12/10/2007
Mouse3219,Male,1,NA,8/11/2008,NA,11/28/2007,07/15/2008,12/05/2007
Mouse3271,Male,1,12/19/2007,8/11/2008,other,11/28/2007,07/15/2008,12/10/2007
Mouse3395,Male,1,NA,NA,NA,NA,07/15/2008,NA
Mouse3301,Female,1,12/18/2007,8/11/2008,11/26/2007,11/28/2007,07/15/2008,12/10/2007
Mouse3503,Male,1,12/19/2007,8/12/2008,other,12/03/2007,NA,12/05/2007
Mouse3083,Male,1,12/19/2007,8/11/2008,11/26/2007,11/28/2007,07/16/2008,12/10/2007
Mouse3568,Male,1,12/19/2007,8/12/2008,11/27/2007,12/03/2007,other,12/05/2007
Mouse3189,Female,1,12/19/2007,8/11/2008,NA,11/28/2007,07/15/2008,12/10/2007
Mouse3287,Female,1,12/19/2007,8/11/2008,11/26/2007,11/28/2007,07/15/2008,12/05/2007
Mouse3131,Female,1,12/19/2007,8/11/2008,11/26/2007,11/28/2007,07/15/2008,12/10/2007
Mouse3311,Male,1,12/18/2007,8/11/2008,11/26/2007,11/28/2007,07/15/2008,12/05/2007
Mouse3324,Female,1,12/18/2007,8/11/2008,NA,11/28/2007,07/15/2008,12/10/2007
Mouse3359,Female,1,12/18/2007,8/11/2008,NA,11/28/2007,07/15/2008,12/10/2007
Mouse3149,Male,1,12/19/2007,8/11/2008,NA,11/28/2007,NA,12/05/2007
Mouse3256,Male,1,12/19/2007,8/11/2008,11/26/2007,11/28/2007,07/15/2008,12/05/2007
Mouse3644,Male,1,12/19/2007,8/12/2008,11/27/2007,12/03/2007,07/16/2008,12/10/2007
Mouse3217,Male,1,12/19/2007,8/11/2008,NA,11/28/2007,07/15/2008,other
Mouse3212,Female,1,12/19/2007,8/11/2008,NA,11/28/2007,07/15/2008,12/05/2007
Mouse3082,Male,1,12/19/2007,8/11/2008,11/26/2007,11/28/2007,07/16/2008,12/05/2007
Mouse3156,Male,1,12/19/2007,8/11/2008,NA,11/28/2007,07/16/2008,12/10/2007
Mouse3397,Male,1,NA,NA,NA,NA,07/15/2008,NA
Mouse3535,Female,1,12/19/2007,8/12/2008,NA,12/03/2007,07/16/2008,12/10/2007
Mouse3481,Female,1,12/19/2007,8/12/2008,11/27/2007,12/03/2007,07/16/2008,12/05/2007
Mouse3123,Female,1,12/19/2007,8/11/2008,11/26/2007,11/28/2007,07/15/2008,other
Mouse3361,Female,1,12/18/2007,8/11/2008,NA,other,NA,12/10/2007
Mouse3411,Female,1,NA,NA,NA,NA,07/15/2008,NA
Mouse3555,Male,1,12/19/2007,8/12/2008,11/27/2007,12/03/2007,07/16/2008,12/10/2007
Mouse3597,Female,1,12/19/2007,8/12/2008,11/27/2007,12/03/2007,07/16/2008,12/05/2007
Mouse3624,Male,1,12/19/2007,8/12/2008,11/27/2007,12/03/2007,07/16/2008,12/10/2007
Mouse3314,Female,1,12/18/2007,8/11/2008,11/26/2007,11/28/2007,07/15/2008,12/05/2007
Mouse3128,Male,1,12/19/2007,8/11/2008,other,11/28/2007,07/15/2008,12/10/2007
Mouse3531,Male,1,12/19/2007,8/12/2008,other,12/03/2007,07/16/2008,12/10/2007
Mouse3295,Male,1,12/18/2007,8/11/2008,11/26/2007,11/28/2007,07/15/2008,12/10/2007
Mouse3231,Male,1,12/19/2007,8/11/2008,NA,11/28/2007,07/15/2008,12/05/2007
Mouse3496,Female,1,other,8/12/2008,11/27/2007,12/03/2007,07/16/2008,12/05/2007
Mouse3438,Male,1,12/19/2007,8/12/2008,11/27/2007,12/03/2007,07/15/2008,12/05/2007
Mouse3183,Male,1,12/19/2007,8/11/2008,NA,11/28/2007,NA,12/05/2007
Mouse3052,Male,1,12/19/2007,8/11/2008,11/26/2007,11/28/2007,07/15/2008,12/10/2007
Mouse3237,Female,1,12/19/2007,8/11/2008,NA,11/28/2007,07/15/2008,12/05/2007
Mouse3462,Female,1,12/19/2007,8/12/2008,other,12/03/2007,07/16/2008,12/05/2007
Mouse3293,Female,1,12/19/2007,8/11/2008,11/26/2007,11/28/2007,NA,12/05/2007
Mouse3318,Female,1,NA,NA,NA,NA,NA,NA
Mouse3543,Female,1,12/19/2007,8/12/2008,11/27/2007,12/03/2007,07/16/2008,12/10/2007
Mouse3276,Male,1,12/19/2007,8/11/2008,11/26/2007,11/28/2007,07/15/2008,12/10/2007
Mouse3200,Male,1,12/19/2007,8/11/2008,11/26/2007,11/28/2007,07/15/2008,12/10/2007
Mouse3502,Female,1,12/19/2007,8/12/2008,other,12/03/2007,07/16/2008,12/05/2007
Mouse3171,Female,1,12/19/2007,8/11/2008,NA,11/28/2007,07/15/2008,12/05/2007
Mouse3366,Male,1,12/18/2007,8/11/2008,NA,11/28/2007,NA,other
Mouse3524,Female,1,other,other,11/27/2007,12/03/2007,07/16/2008,12/05/2007
Mouse3335,Female,1,12/18/2007,8/11/2008,11/26/2007,11/28/2007,07/15/2008,12/05/2007
Mouse3357,Female,1,12/18/2007,8/11/2008,NA,11/28/2007,07/15/2008,12/10/2007
Mouse3254,Male,1,12/19/2007,8/11/2008,11/26/2007,11/28/2007,07/15/2008,12/10/2007
Mouse3360,Female,1,NA,NA,NA,NA,NA,NA
Mouse3468,Male,1,12/19/2007,8/12/2008,11/27/2007,12/03/2007,07/16/2008,12/05/2007
Mouse3192,Female,1,12/19/2007,8/11/2008,NA,11/28/2007,07/15/2008,12/10/2007
Mouse3214,Male,1,12/19/2007,8/11/2008,NA,11/28/2007,07/15/2008,12/05/2007
Mouse3536,Female,1,12/19/2007,8/12/2008,11/27/2007,12/03/2007,07/16/2008,12/10/2007
Mouse3606,Female,1,12/19/2007,8/12/2008,11/27/2007,12/03/2007,07/16/2008,12/05/2007
Mouse3226,Female,1,12/19/2007,8/11/2008,NA,11/28/2007,07/15/2008,12/10/2007
Mouse3394,Male,1,NA,NA,NA,NA,07/15/2008,NA
Mouse3415,Male,1,12/18/2007,8/11/2008,11/26/2007,other,07/15/2008,12/10/2007
Mouse3266,Female,1,12/19/2007,8/11/2008,11/26/2007,11/28/2007,NA,12/10/2007
Mouse3648,Male,1,12/19/2007,8/12/2008,11/27/2007,12/03/2007,07/16/2008,12/05/2007
