id,UNC210000095,UNC210000599,UNC210001275,UNC210001366,UNC210001613
JAXW202-2215,3.1785,0.2865,0.1345,3.533,1.416
JAXW202-2340,2.87,0.253333333333333,0.184,3.24633333333333,1.72633333333333
JAXW202-2341,2.94333333333333,0.245666666666667,0.175,3.25133333333333,1.763
JAXW202-2426,2.787,0.113333333333333,0.0736666666666667,3.21366666666667,1.49
JAXW202-2352,3.51666666666667,0.240666666666667,0.156333333333333,3.894,1.60233333333333
JAXW202-2544,2.884,0.0823333333333333,0.216333333333333,3.273,1.75033333333333
JAXW202-2570,2.85233333333333,0.254,0.151333333333333,3.24633333333333,1.72166666666667
JAXW202-2576,3.48833333333333,0.0956666666666667,0.159,3.70733333333333,1.291
JAXW202-2608,2.68766666666667,0.121,0.058,3.13666666666667,1.433
JAXW202-2624,2.789,0.106,0.0583333333333333,3.31766666666667,1.51833333333333
JAXW202-2632,2.812,0.0903333333333333,0.0386666666666667,3.28133333333333,1.32233333333333
JAXW202-2633,2.94433333333333,0.087,0.04,3.305,1.42266666666667
JAXW202-2634,2.89666666666667,0.276,0.177666666666667,3.484,1.79133333333333
JAXW202-2535,3.46466666666667,0.224666666666667,0.146,3.76533333333333,1.53766666666667
JAXW202-3045,3.313,0.260666666666667,0.173333333333333,3.619,1.60666666666667
JAXW202-3132,3.34466666666667,0.0936666666666667,0.0626666666666667,3.68866666666667,1.29433333333333
JAXW202-3140,2.77166666666667,0.0713333333333333,0.046,3.34733333333333,1.404
JAXW202-3164,3.27233333333333,0.0946666666666667,0.0493333333333333,3.50966666666667,1.25233333333333
JAXW202-3173,2.6965,0.097,0.053,3.146,1.2515
JAXW202-3379,2.8845,0.0825,0.044,3.076,1.3335
JAXW202-3380,2.903,0.095,0.055,3.2135,1.2455
JAXW202-3231,2.8135,0.2935,0.189,3.056,1.62
JAXW202-3292,3.152,0.1975,0.1235,3.736,1.766
JAXW202-3272,2.8355,0.0845,0.0425,3.186,1.34
JAXW202-2129,2.755,0.067,0.035,3.104,1.5
JAXW202-2175,2.694,0.08,0.03,3.063,1.271
JAXW202-2133,2.471,0.079,0.043,2.858,1.407
JAXW202-2321,2.86,0.308,0.159,3.368,1.669
JAXW202-2310,2.731,0.308,0.155,3.02,1.756
JAXW202-2337,2.832,0.29,0.147,3.354,1.836
JAXW202-2311,2.683,0.296,0.151,3.218,1.791
JAXW202-2308,2.693,0.285,0.15,3.126,1.69
JAXW202-2407,2.7,0.078,0.037,3.035,1.446
JAXW202-2427,2.56,0.07,0.031,3.12,1.454
JAXW202-2442,3.031,0.047,0.016,3.453,1.492
JAXW202-2130,2.77,0.04,0.026,2.992,1.462
JAXW202-2176,2.738,0.072,0.022,2.931,1.406
JAXW202-2148,2.793,0.066,0.024,3.057,1.469
JAXW202-2322,2.866,0.28,0.138,3.156,1.83
JAXW202-2315,2.834,0.254,0.135,3.2,1.727
JAXW202-2339,2.863,0.285,0.124,3.44,1.793
JAXW202-2312,2.856,0.304,0.144,3.086,1.898
JAXW202-2313,2.669,0.35,0.165,3.011,1.368
JAXW202-2411,2.723,0.075,0.037,3.086,1.466
JAXW202-2428,3.047,0.062,0.018,3.666,1.401
JAXW202-2443,3.04,0.058,0.019,3.048,1.289
