# phenotype data from Gatti et al. (2014) G3 4:1623-1633
# nrow 742
# ncol 3
id,WBC,NEUT
JAXW202.2129,4.34,598.052
JAXW202.2130,4.84,1001.88
JAXW202.2132,6.28,1073.88
JAXW202.2133,4.72,1093.152
JAXW202.2134,3.12,313.872
JAXW202.2135,4.8,988.8
JAXW202.2136,6.68,1005.34
JAXW202.2137,6.12,599.76
JAXW202.2138,3.7,530.21
JAXW202.2139,6.76,702.364
JAXW202.2141,8.62,1604.182
JAXW202.2142,5.2,1792.96
JAXW202.2144,6.66,1429.902
JAXW202.2145,6.12,1021.428
JAXW202.2146,8.26,1371.16
JAXW202.2147,6.32,1261.472
JAXW202.2148,9.66,1527.246
JAXW202.2149,5,895
JAXW202.2150,4.3,865.16
JAXW202.2151,6.36,1485.696
JAXW202.2152,4.16,666.432
JAXW202.2153,2.4,654.48
JAXW202.2154,3.92,723.632
JAXW202.2155,3.12,561.6
JAXW202.2156,7.78,1159.998
JAXW202.2157,5.24,843.64
JAXW202.2158,11.38,1590.924
JAXW202.2159,5.38,555.216
JAXW202.2161,4,446.8
JAXW202.2162,6.48,863.136
JAXW202.2163,5.14,408.116
JAXW202.2164,10.8,1338.12
JAXW202.2165,9.6,518.4
JAXW202.2166,7.64,802.2
JAXW202.2167,6.26,1100.508
JAXW202.2168,5.24,517.712
JAXW202.2169,9.78,785.334
JAXW202.2170,9.56,2704.524
JAXW202.2171,8.56,1241.2
JAXW202.2172,6.76,1059.292
JAXW202.2173,7.58,1324.226
JAXW202.2174,4,1056.8
JAXW202.2175,12.56,1679.272
JAXW202.2176,6.98,2152.632
JAXW202.2177,6.78,871.908
JAXW202.2178,3.72,649.884
JAXW202.2179,4.56,1136.808
JAXW202.2180,6.84,789.336
JAXW202.2181,2.62,516.926
JAXW202.2182,3.16,753.976
JAXW202.2183,4.18,505.362
JAXW202.2184,2.8,331.24
JAXW202.2185,5.54,825.46
JAXW202.2186,4.1,731.85
JAXW202.2188,10.04,1532.104
JAXW202.2189,7.92,1291.752
JAXW202.2190,8.26,1488.452
JAXW202.2191,7.26,1560.9
JAXW202.2192,7.1,678.76
JAXW202.2194,8.56,1410.688
JAXW202.2195,3.72,416.268
JAXW202.2197,6.92,1166.02
JAXW202.2198,4.14,465.336
JAXW202.2199,7.5,1139.25
JAXW202.2200,11.1,2077.92
JAXW202.2201,3.52,316.448
JAXW202.2202,5.52,1041.072
JAXW202.2204,7.02,1684.098
JAXW202.2205,8.1,1428.84
JAXW202.2206,7.4,773.3
JAXW202.2207,10,1377
JAXW202.2208,8.76,1483.944
