# Phenotypes for Recla et al. (2019) DO data (https://doi.org/10.1097/j.pain.0000000000001571)
# nrow 275
# ncol 3
id,formalin_score,formalin_score_sqrt
CJB-DO-22,1,1
CJB-DO-23,2,1.414
CJB-DO-24,12,3.464
CJB-DO-25,1,1
CJB-DO-26,3,1.732
CJB-DO-27,6,2.449
CJB-DO-28,1,1
CJB-DO-29,33,5.745
CJB-DO-30,14,3.742
CJB-DO-31,15,3.873
CJB-DO-32,16,4
CJB-DO-33,3,1.732
CJB-DO-34,12,3.464
CJB-DO-35,1,1
CJB-DO-36,10,3.162
CJB-DO-37,3,1.732
CJB-DO-38,15,3.873
CJB-DO-39,8,2.828
CJB-DO-40,0,0
CJB-DO-49,5,2.236
CJB-DO-50,6,2.449
CJB-DO-51,4,2
CJB-DO-52,14,3.742
CJB-DO-53,2,1.414
CJB-DO-54,3,1.732
CJB-DO-55,1,1
CJB-DO-56,6,2.449
CJB-DO-57,18,4.243
CJB-DO-59,16,4
CJB-DO-60,6,2.449
CJB-DO-61,5,2.236
CJB-DO-62,8,2.828
CJB-DO-63,1,1
CJB-DO-64,10,3.162
CJB-DO-65,3,1.732
CJB-DO-66,22,4.69
CJB-DO-67,21,4.583
CJB-DO-68,3,1.732
CJB-DO-89,1,1
CJB-DO-90,3,1.732
CJB-DO-91,9,3
CJB-DO-92,6,2.449
CJB-DO-93,12,3.464
CJB-DO-94,0,0
CJB-DO-95,3,1.732
CJB-DO-96,3,1.732
CJB-DO-97,2,1.414
CJB-DO-98,16,4
CJB-DO-99,23,4.796
CJB-DO-100,9,3
CJB-DO-101,7,2.646
CJB-DO-102,8,2.828
CJB-DO-103,17,4.123
CJB-DO-104,14,3.742
CJB-DO-105,7,2.646
CJB-DO-106,26,5.099
CJB-DO-107,2,1.414
CJB-DO-108,37,6.083
CJB-DO-141,20,4.472
CJB-DO-142,2,1.414
CJB-DO-143,7,2.646
CJB-DO-144,15,3.873
CJB-DO-145,16,4
CJB-DO-146,6,2.449
CJB-DO-147,3,1.732
CJB-DO-148,9,3
CJB-DO-149,14,3.742
CJB-DO-150,16,4
CJB-DO-151,28,5.292
CJB-DO-152,9,3
CJB-DO-153,22,4.69
CJB-DO-154,12,3.464
CJB-DO-155,22,4.69
CJB-DO-156,0,0
CJB-DO-157,5,2.236
CJB-DO-158,5,2.236
CJB-DO-159,6,2.449
CJB-DO-160,7,2.646
CJB-DO-169,7,2.646
CJB-DO-170,7,2.646
CJB-DO-171,13,3.606
CJB-DO-172,11,3.317
CJB-DO-173,10,3.162
CJB-DO-174,4,2
CJB-DO-175,11,3.317
CJB-DO-176,2,1.414
CJB-DO-177,10,3.162
CJB-DO-178,18,4.243
CJB-DO-179,0,0
CJB-DO-180,22,4.69
CJB-DO-181,22,4.69
CJB-DO-182,2,1.414
CJB-DO-183,9,3
CJB-DO-184,22,4.69
CJB-DO-185,10,3.162
CJB-DO-186,10,3.162
CJB-DO-187,15,3.873
CJB-DO-188,15,3.873
CJB-DO-203,10,3.162
CJB-DO-204,8,2.828
CJB-DO-205,1,1
CJB-DO-206,3,1.732
CJB-DO-207,23,4.796
CJB-DO-208,4,2
CJB-DO-209,11,3.317
CJB-DO-210,20,4.472
CJB-DO-211,7,2.646
CJB-DO-212,18,4.243
CJB-DO-213,4,2
CJB-DO-214,0,0
CJB-DO-215,27,5.196
CJB-DO-216,17,4.123
CJB-DO-217,10,3.162
CJB-DO-218,28,5.292
CJB-DO-219,1,1
CJB-DO-220,12,3.464
CJB-DO-221,11,3.317
CJB-DO-222,15,3.873
CJB-DO-223,19,4.359
CJB-DO-224,18,4.243
CJB-DO-225,13,3.606
CJB-DO-226,25,5
CJB-DO-227,30,5.477
CJB-DO-228,11,3.317
CJB-DO-229,21,4.583
CJB-DO-230,2,1.414
CJB-DO-231,13,3.606
CJB-DO-232,24,4.899
CJB-DO-266,5,2.236
CJB-DO-267,2,1.414
CJB-DO-268,13,3.606
CJB-DO-269,17,4.123
CJB-DO-270,10,3.162
CJB-DO-271,34,5.831
CJB-DO-272,7,2.646
CJB-DO-273,12,3.464
CJB-DO-274,2,1.414
CJB-DO-275,0,0
CJB-DO-276,12,3.464
CJB-DO-277,6,2.449
CJB-DO-278,36,6
CJB-DO-279,20,4.472
CJB-DO-280,22,4.69
CJB-DO-281,0,0
CJB-DO-282,14,3.742
CJB-DO-283,4,2
CJB-DO-284,10,3.162
CJB-DO-2,21,4.583
CJB-DO-5,9,3
CJB-DO-6,1,1
CJB-DO-7,3,1.732
CJB-DO-8,2,1.414
CJB-DO-9,18,4.243
CJB-DO-10,27,5.196
CJB-DO-11,17,4.123
CJB-DO-12,0,0
CJB-DO-13,2,1.414
CJB-DO-14,17,4.123
CJB-DO-15,0,0
CJB-DO-16,0,0
CJB-DO-17,28,5.292
CJB-DO-18,3,1.732
CJB-DO-19,3,1.732
CJB-DO-20,0,0
CJB-DO-41,1,1
CJB-DO-42,4,2
CJB-DO-43,15,3.873
CJB-DO-44,12,3.464
CJB-DO-47,7,2.646
CJB-DO-48,16,4
CJB-DO-69,0,0
CJB-DO-70,27,5.196
CJB-DO-71,2,1.414
CJB-DO-72,36,6
CJB-DO-73,24,4.899
CJB-DO-74,5,2.236
CJB-DO-75,1,1
CJB-DO-76,24,4.899
CJB-DO-77,2,1.414
CJB-DO-78,16,4
CJB-DO-79,26,5.099
CJB-DO-80,21,4.583
CJB-DO-81,0,0
CJB-DO-82,7,2.646
CJB-DO-83,0,0
CJB-DO-84,1,1
CJB-DO-85,0,0
CJB-DO-86,7,2.646
CJB-DO-87,4,2
CJB-DO-88,3,1.732
CJB-DO-109,26,5.099
CJB-DO-110,4,2
CJB-DO-111,20,4.472
CJB-DO-112,15,3.873
CJB-DO-113,0,0
CJB-DO-114,5,2.236
CJB-DO-115,0,0
