# Cross info for Maize MAGIC from Dell'Acqua et al (2015) doi:10.1186/s13059-015-0716-z
# nrow 529
# ncol 11
id,ngen,A632,B73,B96,CML91,F7,H99,HP301,Mo17,W153R
1_1,4,300,300,300,1,300,300,300,300,300
1_3,4,300,300,300,1,300,300,300,300,300
1_15,4,300,300,300,1,300,300,300,300,300
1_23,4,300,300,300,1,300,300,300,300,300
1_25,4,300,300,300,1,300,300,300,300,300
1_30,4,300,300,300,1,300,300,300,300,300
1_31,4,300,300,300,1,300,300,300,300,300
1_32,4,300,300,300,1,300,300,300,300,300
1_39,4,300,300,300,1,300,300,300,300,300
1_44,4,300,300,300,1,300,300,300,300,300
1_45,4,300,300,300,1,300,300,300,300,300
1_47,4,300,300,300,1,300,300,300,300,300
1_66,4,300,300,300,1,300,300,300,300,300
1_80,4,300,300,300,1,300,300,300,300,300
1_89,4,300,300,300,1,300,300,300,300,300
1_94,4,300,300,300,1,300,300,300,300,300
2_6,4,300,300,300,1,300,300,300,300,300
2_11,4,300,300,300,1,300,300,300,300,300
2_14,4,300,300,300,1,300,300,300,300,300
2_15,4,300,300,300,1,300,300,300,300,300
2_28,4,300,300,300,1,300,300,300,300,300
2_46,4,300,300,300,1,300,300,300,300,300
2_54,4,300,300,300,1,300,300,300,300,300
2_59,4,300,300,300,1,300,300,300,300,300
2_61,4,300,300,300,1,300,300,300,300,300
2_62,4,300,300,300,1,300,300,300,300,300
2_67,4,300,300,300,1,300,300,300,300,300
2_68,4,300,300,300,1,300,300,300,300,300
2_71,4,300,300,300,1,300,300,300,300,300
2_73,4,300,300,300,1,300,300,300,300,300
2_76,4,300,300,300,1,300,300,300,300,300
3_11,4,300,400,200,100,300,300,200,300,300
3_12,4,300,400,200,100,300,300,200,300,300
3_16,4,300,400,200,100,300,300,200,300,300
3_30,4,300,400,200,100,300,300,200,300,300
3_36,4,300,400,200,100,300,300,200,300,300
3_40,4,300,400,200,100,300,300,200,300,300
3_43,4,300,400,200,100,300,300,200,300,300
3_44,4,300,400,200,100,300,300,200,300,300
3_46,4,300,400,200,100,300,300,200,300,300
3_53,4,300,400,200,100,300,300,200,300,300
3_55,4,300,400,200,100,300,300,200,300,300
3_56,4,300,400,200,100,300,300,200,300,300
3_71,4,300,400,200,100,300,300,200,300,300
3_82,4,300,400,200,100,300,300,200,300,300
3_84,4,300,400,200,100,300,300,200,300,300
4_1,4,300,300,300,1,300,300,300,300,300
4_11,4,300,300,300,1,300,300,300,300,300
4_14,4,300,300,300,1,300,300,300,300,300
4_22,4,300,300,300,1,300,300,300,300,300
4_32,4,300,300,300,1,300,300,300,300,300
4_33,4,300,300,300,1,300,300,300,300,300
4_35,4,300,300,300,1,300,300,300,300,300
4_36,4,300,300,300,1,300,300,300,300,300
4_50,4,300,300,300,1,300,300,300,300,300
4_55,4,300,300,300,1,300,300,300,300,300
4_58,4,300,300,300,1,300,300,300,300,300
4_60,4,300,300,300,1,300,300,300,300,300
4_61,4,300,300,300,1,300,300,300,300,300
4_67,4,300,300,300,1,300,300,300,300,300
4_68,4,300,300,300,1,300,300,300,300,300
5_3,4,300,300,300,1,300,300,300,300,300
5_11,4,300,300,300,1,300,300,300,300,300
5_12,4,300,300,300,1,300,300,300,300,300
5_13,4,300,300,300,1,300,300,300,300,300
5_14,4,300,300,300,1,300,300,300,300,300
5_17,4,300,300,300,1,300,300,300,300,300
5_18,4,300,300,300,1,300,300,300,300,300
5_25,4,300,300,300,1,300,300,300,300,300
5_26,4,300,300,300,1,300,300,300,300,300
5_29,4,300,300,300,1,300,300,300,300,300
5_34,4,300,300,300,1,300,300,300,300,300
5_41,4,300,300,300,1,300,300,300,300,300
5_42,4,300,300,300,1,300,300,300,300,300
5_47,4,300,300,300,1,300,300,300,300,300
5_66,4,300,300,300,1,300,300,300,300,300
6_4,4,300,300,300,1,300,300,300,300,300
6_7,4,300,300,300,1,300,300,300,300,300
6_9,4,300,300,300,1,300,300,300,300,300
6_11,4,300,300,300,1,300,300,300,300,300
6_19,4,300,300,300,1,300,300,300,300,300
6_22,4,300,300,300,1,300,300,300,300,300
6_24,4,300,300,300,1,300,300,300,300,300
6_31,4,300,300,300,1,300,300,300,300,300
6_33,4,300,300,300,1,300,300,300,300,300
6_35,4,300,300,300,1,300,300,300,300,300
6_36,4,300,300,300,1,300,300,300,300,300
6_50,4,300,300,300,1,300,300,300,300,300
6_59,4,300,300,300,1,300,300,300,300,300
6_66,4,300,300,300,1,300,300,300,300,300
6_70,4,300,300,300,1,300,300,300,300,300
7_13,4,300,400,200,100,300,300,200,300,300
7_17,4,300,400,200,100,300,300,200,300,300
7_20,4,300,400,200,100,300,300,200,300,300
7_3,4,300,400,200,100,300,300,200,300,300
7_33,4,300,400,200,100,300,300,200,300,300
7_38,4,300,400,200,100,300,300,200,300,300
7_47,4,300,400,200,100,300,300,200,300,300
7_50,4,300,400,200,100,300,300,200,300,300
7_53,4,300,400,200,100,300,300,200,300,300
7_54,4,300,400,200,100,300,300,200,300,300
7_55,4,300,400,200,100,300,300,200,300,300
7_6,4,300,400,200,100,300,300,200,300,300
7_65,4,300,400,200,100,300,300,200,300,300
7_69,4,300,400,200,100,300,300,200,300,300
7_70,4,300,400,200,100,300,300,200,300,300
8_11,4,300,400,200,100,300,300,200,300,300
8_2,4,300,400,200,100,300,300,200,300,300
8_37,4,300,400,200,100,300,300,200,300,300
8_38,4,300,400,200,100,300,300,200,300,300
8_43,4,300,400,200,100,300,300,200,300,300
8_5,4,300,400,200,100,300,300,200,300,300
8_51,4,300,400,200,100,300,300,200,300,300
8_52,4,300,400,200,100,300,300,200,300,300
8_55,4,300,400,200,100,300,300,200,300,300
