# Phenotypes for Maize MAGIC from Dell'Acqua et al (2015) doi:10.1186/s13059-015-0716-z
# nrow 529
# ncol 5
Line,PS,PH,EH,GYrad
1_1,77.7476,179.8385,106.6041,6.8461
1_15,77.6025,135.4811,76.4743,7.986
1_23,78.2439,182.5484,111.0571,9.2103
1_25,77.5949,206.419,119.7299,7.6833
1_3,72.0043,160.5886,73.271,7.0524
1_30,77.3603,169.8466,92.5918,5.7228
1_31,79.56,204.5644,105.6987,5.7618
1_32,73.3432,165.8466,73.1411,4.0228
1_39,78.8258,146.5725,67.12,4.8682
1_44,72.2366,184.5402,100.9566,4.4788
1_45,77.568,196.6127,96.3715,6.5608
1_47,75.8583,123.9192,69.3591,6.8219
1_66,76.0953,165.0482,72.0571,6.0653
1_80,79.433,178.371,97.9502,5.0448
1_89,71.905,157.4435,93.422,4.724
1_94,76.2356,139.2282,62.2751,3.4108
10_10,80.5341,190.4514,96.9249,5.10229
10_15,77.5232,168.5321,80.1576,7.7787
10_17,80.5596,147.7499,70.6505,7.3515
10_18,81.8807,202.4435,117.617,5.7322
10_21,83.5713,191.9192,101.8621,6.3543
10_29,79.6324,190.7095,109.8873,8.7766
10_36,79.5377,167.4595,100.4472,5.9919
10_37,76.8542,155.5484,80.3967,3.377
10_38,78.57636,163.895,80.5601,4.1122
10_41,78.9597,151.5804,90.7111,3.3391
10_43,79.6198,144.0805,84.1012,3.3418
10_47,80.8179,188.9515,108.6041,4.0492
10_5,81.3035,180.8064,106.5918,5.6105
10_8,79.6715,189.4997,75.1641,3.5406
10_9,77.261,180.4837,103.271,5.8859
11_21,79.3024,201.6934,142.1453,5.4108
11_3,77.8726,148.1933,68.2269,7.8842
11_30,74.9061,190.8035,85.4784,5.6919
11_32,74.4651,176.274,87.7739,10.1054
11_39,79.271,142.0159,94.5853,3.2362
11_4,75.6944,142.7901,75.4596,3.3894
11_49,77.4703,193.911,108.8809,8.6676
11_52,80.7292,177.911,101.3151,6.1959
11_55,79.0955,159.766,60.9502,8.1103
11_61,79.3234,185.4677,94.0759,6.985
11_63,75.5173,168.387,76.6482,2.951
11_65,79.3505,188.4112,92.1829,12.6445
11_7,77.8383,90.49,39.8873,4.0859
11_71,81.7957,140.387,84.5289,5.9604
11_74,75.9012,140.9515,78.3674,4.3297
12_1,70.4907,113.371,48.7868,3.6679
12_104,81.4806,182.7258,89.8057,6.0173
12_117,72.4613,149.1773,57.2604,6.9401
12_21,77.5564,125.0482,75.7804,4.7152
12_25,79.7419,162.9917,64.4155,7.2121
12_34,72.516,170.7901,86.0571,7.1817
12_36,78.2449,199.4193,121.5853,6.6297
12_37,72.1768,154.1665,83.3926,7.6846
12_39,75.1708,144.4353,74.1388,6.0329
12_40,71.1593,180.6127,82.1265,9.4793
12_41,73.7814,196.9192,96.6482,7.9439
12_48,79.9814,138.0727,60.0824,4.6896
12_66,69.2357,140.403,64.0759,3.2991
12_84,74.5721,140.9352,65.7739,4.268
12_86,74.1292,172.8225,93.5225,6.0438
13_107,79.2372,160.9244,94.9878,9.0167
13_21,78.1676,145.8064,77.0824,4.6815
13_22,77.518,166.1289,67.4408,7.6274
13_23,72.897,187.7258,112.3403,9.177
13_25,78.0592,184.9838,102.1829,8.8487
13_28,75.7176,143.3547,63.8433,7.937
13_3,78.5299,194.7418,94.5853,5.9893
13_30,77.9755,167.8708,92.6735,5.9455
13_31,79.4526,180.6288,97.4532,6.2981
13_33,71.9589,107.34,52.422,4.8513
13_36,77.3137,171.5405,85.9755,8.2583
13_4,78.1578,189.0724,107.4155,8.6618
13_41,77.7651,200.0645,100.2457,5.4989
13_5,75.2961,181.9434,99.0947,6.9071
13_60,70.8987,167.4595,92.8286,8.8451
14_11,69.9334,139.9273,81.0759,4.3665
14_12,74.4038,122.9271,50.9878,7.0797
14_13,72.416,176.9032,95.7363,5.0375
14_25,81.8963,204.9434,114.0383,8.1907
14_32,82.0542,176.419,90.2645,4.5552
14_36,77.7527,184.8656,100.2081,3.626
14_39,71.2057,152.0401,71.9061,7.6151
14_5,69.0883,145.6127,75.9126,7.8996
14_67,82.4552,124.0805,61.6294,6.787
14_70,81.0704,199.516,94.4343,7.421
14_73,73.3744,196.5804,116.9061,7.1735
14_84,78.9,153.7095,90.1641,8.1903
14_92,78.2047,201.5804,98.4555,5.6542
14_93,78.3366,189.0724,83.1829,8.6545
14_95,72.8047,122.024,48.4784,4.5513
15_1,78.0689,203.0319,94.1576,8.675
15_103,75.8016,183.879,87.0759,7.2261
15_107,82.8112,140.7258,71.5101,4.7584
15_111,79.7552,174.0966,81.667,5.8786
15_15,71.253,149.6771,72.3779,6.5555
15_22,79.2854,169.3223,86.5037,8.3012
15_23,75.4221,197.1988,76.0571,6.3161
15_24,78.1245,160.5239,76.4091,5.4381
15_45,74.3483,123.3951,68.2081,7.9713
15_6,77.5741,209.54283,105.6,6.5897
15_73,75.7518,154.0968,64.5918,6.3775
15_8,73.5717,149.403,69.1388,7.5475
15_84,76.7478,153.9192,84.4343,3.3042
