# Physical map (mm10) for Recla et al. (2019) DO data (https://doi.org/10.1097/j.pain.0000000000001571)
# nrow 74906
# ncol 3
marker,chr,Mbp_mm10
UNC6,1,3.010274
JAX00000010,1,3.135418
JAX00240603,1,3.252796
JAX00240610,1,3.266608
JAX00240613,1,3.3234
JAX00240636,1,3.389563
JAX00240649,1,3.454984
JAX00000040,1,3.544819
UNC010515443,1,3.668628
UNC9371,1,3.892718
UNC010001943,1,3.97713
UNC11461,1,4.024785
UNC12838,1,4.136034
JAX00000089,1,4.195353
UNC15185,1,4.35782
UNC010515539,1,4.430623
UNC16386,1,4.446737
UNC010515556,1,4.531029
UNC19217,1,4.668424
UNC21023,1,4.809276
UNC23507,1,5.032086
UNC23995,1,5.133382
UNC24700,1,5.224578
UNC26205,1,5.634186
UNC26932,1,5.782289
UNC28841,1,5.944792
UNC010516347,1,6.020779
UNC30322,1,6.063698
UNC34218,1,6.357478
UNC36398,1,6.529432
UNC38030,1,6.671327
JAX00000280,1,6.74744
JAX00241205,1,6.756021
UNC011026542,1,6.777896
UNC40323,1,6.846703
UNC41603,1,6.965962
UNC44002,1,7.143836
UNC45743,1,7.258768
JAX00241286,1,7.313436
UNC49074,1,7.521699
UNC49759,1,7.548683
UNC010005983,1,7.650439
JAX00000353,1,7.698048
JAX00241337,1,7.771532
JAX00241338,1,7.773471
UNC55318,1,7.815721
JAX00241349,1,7.872143
JAX00241351,1,7.940508
UNC57959,1,7.969906
JAX00241357,1,8.023368
UNC58412,1,8.051126
UNC61552,1,8.262392
UNC010010509,1,8.277576
UNC64786,1,8.458157
UNC66010,1,8.55413
UNC67320,1,8.644649
UNC010013426,1,8.843139
UNC70761,1,8.865088
UNC73203,1,9.037356
UNC74840,1,9.156562
JAX00000461,1,9.24798
UNC76650,1,9.28275
UNC78561,1,9.42912
backupJAX00000484,1,9.553973
UNC81870,1,9.671947
UNC010016945,1,9.774388
UNC82824,1,9.774585
UNC83675,1,9.843988
UNC84898,1,9.919658
UNC85539,1,9.964703
UNC86282,1,10.014552
UNC86947,1,10.063414
UNC87305,1,10.098253
UNC87850,1,10.147799
UNC88286,1,10.21153
JAX00241740,1,10.262178
JAX00241750,1,10.279703
UNC89490,1,10.307255
UNC89876,1,10.361724
UNC90063,1,10.391301
UNC90639,1,10.452345
UNC91280,1,10.50484
UNC91753,1,10.555149
UNC92768,1,10.619399
UNC93438,1,10.661586
UNC93857,1,10.693855
UNC94417,1,10.741675
UNC94965,1,10.809088
UNC95366,1,10.849375
JAX00000583,1,10.87449
UNC95979,1,10.898627
UNC96966,1,10.964168
UNC97447,1,11.006096
JAX00241835,1,11.024376
UNC98241,1,11.068783
JAX00241853,1,11.09954
UNC010019700,1,11.101049
UNC99201,1,11.116461
UNC010961842,1,11.139173
UNC99911,1,11.147702
JAX00241881,1,11.184476
UNC101009,1,11.19286
UNC102088,1,11.25221
UNC102696,1,11.291251
