# Genetic marker map for Alan Attie B6xBTBR cross
# nrow 2057
# ncol 3
marker,chr,pos
rs13475697,1,1.6449
rs3681603,1,1.6449001
rs13475703,1,1.73685561994571
rs13475710,1,2.57549035621086
rs6367205,1,2.85294211007162
rs13475716,1,2.85294221007162
rs13475717,1,2.85294231007162
rs13475719,1,2.85294241007162
rs13459050,1,2.85294251007162
rs3680898,1,2.85294261007162
rs13475727,1,3.69139049188995
rs13475728,1,3.69139059188995
rs13475729,1,3.87871607029315
rs13475731,1,4.45744970074195
rs13475737,1,5.04045823244555
rs13475744,1,5.72789250908286
rs6397513,1,5.82010054795936
rs13475747,1,5.82010064795936
rs13475748,1,6.56551466737913
rs13475749,1,6.84373474769843
rs13475750,1,6.84373484769843
rs13475751,1,6.84373494769843
rs13475752,1,6.84373504769843
rs13475762,1,8.45669568835961
rs13475764,1,9.40399155258687
rs13475765,1,9.50650760567477
rs13475768,1,9.97366902478264
rs13475769,1,10.1607082528915
rs13475771,1,10.1607083528915
rs6384194,1,11.8804978144054
rs13475790,1,12.3249480464659
rs3676270,1,12.5543386690953
rs13475794,1,12.9685128038304
rs13475801,1,15.3665418761434
rs4222269,1,16.5169202673679
rs6387241,1,20.7576728098819
rs13475822,1,22.1538307792752
rs13475824,1,22.2691832036802
rs13475826,1,23.1923550563812
rs13475827,1,23.2831255393672
rs13475834,1,24.5511461678188
rs13475880,1,30.4441021341688
rs13475883,1,31.4342617249452
rs6239834,1,32.3161275157811
rs3162895,1,33.2492593368483
rs6212146,1,33.3412211673364
rs3022802,1,33.3412212673364
rs13475899,1,33.5269282327042
rs13475900,1,33.5269283327042
rs13475906,1,33.822256878494
rs3022803,1,33.822256978494
rs13475907,1,33.9154597932792
rs13475909,1,34.0344362185403
rs13475912,1,34.8891824551096
rs6209698,1,38.6961721703056
rs13475929,1,39.3037075140826
rs13475931,1,39.588697786936
rs13475933,1,40.1486568989568
rs13475934,1,40.24073666749
rs4222476,1,41.5507855661319
rs13475939,1,41.8285389528578
rs8253473,1,41.8285390528578
rs13475941,1,41.8285391528578
rs13475944,1,42.1071575668463
rs13475947,1,42.3858679119145
rs13475948,1,42.3858680119145
rs13475950,1,42.3858681119145
rs13475951,1,42.3858682119145
rs13475954,1,43.2250656216473
rs13475955,1,43.5025444425723
rs13475963,1,44.4362292068396
rs13475966,1,44.6212862554316
rs13475967,1,44.7162371505418
rs13475970,1,45.5589513347035
rs13475960,1,46.0236081384209
rs6250696,1,46.0236082384209
rs13475973,1,46.0236083384209
rs3691187,1,46.7438568978125
rs13475988,1,47.6483524327038
rs13475991,1,47.9413777874424
rs13476023,1,51.1337694708326
rs13476024,1,51.1337695708326
rs3684654,1,51.3190076425765
rs6274257,1,51.9716500559424
rs13476045,1,52.0638026487396
rs13476049,1,52.2497028276176
rs6319405,1,52.3424197687336
rs13476050,1,52.3424198687336
rs13476051,1,52.5279454147498
rs13476054,1,52.8999274729868
rs13476057,1,52.8999275729868
rs13476059,1,52.8999276729868
rs13476060,1,52.8999277729868
rs13476062,1,53.4581749881555
rs13476066,1,53.4581750881555
rs13476067,1,53.5507943561426
rs6259837,1,53.8330502966144
rs13476080,1,54.5824294759769
rs6302966,1,54.5824295759769
rs13476085,1,55.4217886899451
rs13476089,1,55.5138453760626
rs3717360,1,55.5138454760626
rs13476090,1,55.5138455760626
rs6248251,1,55.5138456760626
rs13476091,1,55.5138457760626
rs3088725,1,55.7008842856099
rs3022832,1,56.1677329179226
rs4222577,1,56.1677330179226
rs13476100,1,56.8198623089444
rs6263067,1,56.9118283550346
rs8256168,1,57.2840702104929
rs6327099,1,57.4690226579873
rs13476111,1,58.2144681450356
rs13476119,1,59.0534875271457
rs8236484,1,59.5180994603976
rs8270838,1,59.5180995603976
rs8236489,1,60.3568984399535
rs13476129,1,60.8800862414463
rs13476134,1,61.6849942155695
rs13476135,1,61.7862643414196
rs13476137,1,61.9813477250905
rs13476138,1,61.9813478250905
rs13476140,1,61.9813479250905
rs13476148,1,62.1663032859257
rs6202860,1,63.0991709357421
rs13476158,1,63.0991710357421
rs13476163,1,63.0991711357421
rs13476177,1,63.1919795135986
rs13476178,1,63.1919796135986
rs13476183,1,63.4707659687392
rs13476184,1,63.6524286707279
rs6194543,1,67.6501745181261
rs13476196,1,67.8505624100544
rs13476201,1,69.5699647221727
rs3685700,1,70.7159744098602
rs3022846,1,70.7159745098602
rs13476210,1,71.4012383189865
rs13476214,1,72.5766049522468
rs13459163,1,77.6233359752345
rs4222816,1,77.6233360752345
rs4222820,1,77.6233361752345
rs3090340,1,77.6233362752345
rs8245949,1,77.6233363752345
rs13476242,1,81.1364515010155
rs13476251,1,81.4280782540816
rs13476254,1,81.4280783540816
rs6383012,1,86.5681017109073
rs13476279,1,86.5681018109073
rs6348421,1,88.3474348829103
rs13476290,1,89.1408588474118
rs13476300,1,94.6164263995857
rs13476302,1,96.297609094758
rs13476304,1,96.3883655809996
rs3669814,1,97.413864655759
rs13501301,1,99.1946983030564
rs13476316,1,99.8633407663414
rs13476325,2,3.0022
rs13476327,2,3.11698657479538
rs13476328,2,3.11698667479538
rs13476330,2,3.11698677479538
