# Phenotype covariates (metadata) for BXD phenotype data
# nrow 5806
# ncol 2
id,description
10001,Central nervous system; morphology: Cerebellum weight; whole; bilateral in adults of both sexes [mg]
10002,Central nervous system; morphology: Cerebellum weight after adjustment for covariance with brain size [mg]
10003,Central nervous system; morphology: Brain weight; male and female adult average; unadjusted for body weight; age; sex [mg]
10004,Central nervous system; morphology: Cerebellum volume [mm3]
10005,Central nervous system; morphology: Cerebellum volume; adjusted for covariance with brain size [mm3]
10006,Central nervous system; morphology: Cerebellum internal granule layer (IGL) volume without adjustment [mm3]
10007,Central nervous system; morphology: Internal granule layer (IGL) of the cerebellum volume; adjusted for sex; age; body and brain weight [mm3]
10008,Central nervous system; pharmacology; behavior: Phencyclidine response (7.5 mg/kg ip); locomotor response; difference in activity (PCP minus saline) between 1 hr test periods [cm]
10009,Central nervous system; pharmacology; behavior: Phencyclidine response (7.5 mg/kg ip); locomotor activity from 0-60 min after PCP injection [cm]
10010,Central nervous system; behavior: Saline control response (0.9%; ip); locomotor activity from 0-60 min after injection (just prior to injection of phencyclidine) [cm]
10011,Central nervous system; pharmacology; behavior: Amphetamine response (5 mg/kg ip); locomotor response; difference in activity (amphetamine minus saline) between 1 hr test periods [cm]
10012,Central nervous system; pharmacology; behavior: Amphetamine response (5 mg/kg ip); locomotor activity from 0-60 min after injection [cm]
10013,Central nervous system; behavior: Saline control response (0.9% ip); locomotor activity from 0-60 min after injection (just prior to injection of 5 mg/kg amphetamine) [cm]
10014,Central nervous system; pharmacology; protein: Calcium (Ca2+) stimulated ecto-ATPase (NTPase) activity in brain microsomes  (monogenic trait mapping to Entpd8) [umolPi /mg protein/hr]
10015,Central nervous system; pharmacology; protein: Magnesium (Mg2+) stimulated ecto-ATPase (NTPase) activity in brain microsomes (monogenic trait mapping to Entpd8) [umolPi /mg protein/hr]
10016,Central nervous system; pharmacology; metabolism: Morphine response (variable doses; ip); induced hypothermia [slope of drug-response curve]
10017,Central nervous system; pharmacology; behavior: Morphine response (variable doses ip); analgesia; slope of the drug response curve [slope]
10018,Central nervous system; pharmacology: Morphine response (variable doses ip); Straub tail test response; slope of the dose response  curve [slope]
10019,Metabolism: Body temperature following saline injection; control for morphine response [degree C]
10020,Central nervous system; peripheral nervous system; behavior; nociception: Pain response; hot plate latency after saline control injection [seconds]
10021,Central nervous system; behavior: Saline control response (vehicle ip); open field activity after injection (unpublished data from Belknap and Crabbe; 1992) [units]
10022,Central nervous system; behavior; gustation: Saccharin sweet taste response; saccharin preference versus water ratio [%]
10023,Central nervous system; behavior; gustation: Saccharin sweet taste water consumption (BXD5 value of 1228 units winsorized to 700 units) [mg/kg/day]
10024,Central nervous system; behavior; epilepsy: Handling-induced convulsions (HIC) baseline scores [units]
10025,Central nervous system; pharmacology; epilepsy: Nitrous oxide response; withdrawal severity measured by handling-induced convulsion (HIC) area under the curve [units]
10026,Central nervous system; pharmacology; epilepsy: Nitrous oxide response; withdrawal severity measured by handling-induced convulsion (HIC); corrected peak level [units]
10027,Central nervous system; pharmacology; behavior: Nitrous oxide response; withdrawal severity measured by handling-induced convulsion (HIC); difference between treated and baseline untreated [units]
10028,Central nervous system; pharmacology; behavior: Ethanol response; withdrawal severity measured as the difference in handling-induced convulsion (HIC) scores from a saline control group (unpublished supplementary data) [units]
10029,Central nervous system; pharmacology; nociception: Morphine response (16 mg/kg); analgesia relative to maximum possible effect [%]
