# covariate data from Gatti et al. (2014) G3 4:1623-1633
# nrow 742
# ncol 5
id,Sex,Batch,ngen,birth_date
JAXW202.2129,F,13,4,2010-06-08
JAXW202.2130,F,13,4,2010-06-08
JAXW202.2132,F,13,4,2010-06-08
JAXW202.2133,F,13,4,2010-06-08
JAXW202.2134,F,13,4,2010-06-08
JAXW202.2135,F,13,4,2010-06-08
JAXW202.2136,F,13,4,2010-06-08
JAXW202.2137,F,13,4,2010-06-08
JAXW202.2138,F,13,4,2010-06-08
JAXW202.2139,F,13,4,2010-06-08
JAXW202.2141,F,13,4,2010-06-08
JAXW202.2142,F,13,4,2010-06-08
JAXW202.2144,F,13,4,2010-06-08
JAXW202.2145,F,13,4,2010-06-08
JAXW202.2146,F,13,4,2010-06-08
JAXW202.2147,F,13,4,2010-06-08
JAXW202.2148,F,13,4,2010-06-08
JAXW202.2149,F,13,4,2010-06-08
JAXW202.2150,F,13,4,2010-06-08
JAXW202.2151,F,13,4,2010-06-08
JAXW202.2152,F,13,4,2010-06-08
JAXW202.2153,F,13,4,2010-06-08
JAXW202.2154,F,13,4,2010-06-08
JAXW202.2155,F,13,4,2010-06-08
JAXW202.2156,F,13,4,2010-06-08
JAXW202.2157,F,13,4,2010-06-08
JAXW202.2158,F,13,4,2010-06-08
JAXW202.2159,F,13,4,2010-06-08
JAXW202.2161,F,13,4,2010-06-08
JAXW202.2162,F,13,4,2010-06-08
JAXW202.2163,F,13,4,2010-06-08
JAXW202.2164,F,13,4,2010-06-08
JAXW202.2165,F,13,4,2010-06-08
JAXW202.2166,F,13,4,2010-06-08
JAXW202.2167,F,13,4,2010-06-08
JAXW202.2168,F,13,4,2010-06-08
JAXW202.2169,F,13,4,2010-06-08
JAXW202.2170,F,13,4,2010-06-08
JAXW202.2171,F,13,4,2010-06-08
JAXW202.2172,F,13,4,2010-06-08
JAXW202.2173,F,13,4,2010-06-08
JAXW202.2174,F,13,4,2010-06-08
JAXW202.2175,F,13,4,2010-06-08
JAXW202.2176,F,13,4,2010-06-08
JAXW202.2177,F,13,4,2010-06-08
JAXW202.2178,F,13,4,2010-06-08
JAXW202.2179,F,13,4,2010-06-08
JAXW202.2180,F,13,4,2010-06-08
JAXW202.2181,F,13,4,2010-06-08
JAXW202.2182,F,13,4,2010-06-08
JAXW202.2183,F,13,4,2010-06-08
JAXW202.2184,F,13,4,2010-06-08
JAXW202.2185,F,13,4,2010-06-08
JAXW202.2186,M,14,4,2010-06-04
JAXW202.2188,M,14,4,2010-06-04
JAXW202.2189,M,14,4,2010-06-04
JAXW202.2190,M,14,4,2010-06-04
JAXW202.2191,M,14,4,2010-06-04
JAXW202.2192,M,14,4,2010-06-04
JAXW202.2194,M,14,4,2010-06-04
JAXW202.2195,M,14,4,2010-06-04
JAXW202.2197,M,14,4,2010-06-04
JAXW202.2198,M,14,4,2010-06-04
JAXW202.2199,M,14,4,2010-06-04
JAXW202.2200,M,14,4,2010-06-04
JAXW202.2201,M,14,4,2010-06-04
JAXW202.2202,M,14,4,2010-06-04
JAXW202.2204,M,14,4,2010-06-04
JAXW202.2205,M,14,4,2010-06-04
JAXW202.2206,M,14,4,2010-06-04
JAXW202.2207,M,14,4,2010-06-04
JAXW202.2208,M,14,4,2010-06-04
JAXW202.2209,M,14,4,2010-06-04
JAXW202.2211,M,14,4,2010-06-04
JAXW202.2212,M,14,4,2010-06-04
JAXW202.2213,M,14,4,2010-06-04
JAXW202.2214,M,14,4,2010-06-04
JAXW202.2215,M,14,4,2010-06-04
JAXW202.2218,M,14,4,2010-06-04
JAXW202.2219,M,14,4,2010-06-04
JAXW202.2220,M,14,4,2010-06-04
JAXW202.2221,M,14,4,2010-06-04
JAXW202.2222,M,14,4,2010-06-04
JAXW202.2223,M,14,4,2010-06-04
JAXW202.2224,M,14,4,2010-06-04
JAXW202.2225,M,14,4,2010-06-04
JAXW202.2226,M,14,4,2010-06-04
JAXW202.2228,M,14,4,2010-06-04
JAXW202.2229,M,14,4,2010-06-04
JAXW202.2230,M,14,4,2010-06-04
JAXW202.2231,M,14,4,2010-06-04
JAXW202.2232,M,14,4,2010-06-04
JAXW202.2233,M,14,4,2010-06-04
JAXW202.2234,M,14,4,2010-06-04
JAXW202.2235,M,14,4,2010-06-04
JAXW202.2236,M,14,4,2010-06-04
JAXW202.2237,M,14,4,2010-06-04
JAXW202.2238,M,14,4,2010-06-04
JAXW202.2240,M,14,4,2010-06-04
JAXW202.2241,M,14,4,2010-06-04
JAXW202.2242,M,14,4,2010-06-04
JAXW202.2243,M,14,4,2010-06-04
JAXW202.2244,M,14,4,2010-06-04
JAXW202.2245,M,14,4,2010-06-04
JAXW202.2246,M,14,4,2010-06-04
JAXW202.2248,F,9,3,2010-04-13
JAXW202.2249,F,9,3,2010-04-13
JAXW202.2250,F,9,3,2010-04-13
JAXW202.2251,F,9,3,2010-04-13
JAXW202.2252,F,9,3,2010-04-13
JAXW202.2253,F,9,3,2010-04-13
JAXW202.2254,F,9,3,2010-04-13
JAXW202.2255,F,9,3,2010-04-13
JAXW202.2256,F,9,3,2010-04-13
JAXW202.2257,F,9,3,2010-04-13
JAXW202.2258,F,9,3,2010-04-13
JAXW202.2259,F,9,3,2010-04-13
JAXW202.2260,F,9,3,2010-04-13
JAXW202.2261,F,9,3,2010-04-13
JAXW202.2262,F,9,3,2010-04-13
JAXW202.2264,F,9,3,2010-04-13
JAXW202.2265,F,9,3,2010-04-13
JAXW202.2266,F,9,3,2010-04-13
JAXW202.2267,F,9,3,2010-04-13
JAXW202.2268,F,9,3,2010-04-13
JAXW202.2269,F,9,3,2010-04-13
JAXW202.2270,F,9,3,2010-04-13
JAXW202.2271,F,9,3,2010-04-13
JAXW202.2272,F,9,3,2010-04-13
JAXW202.2274,F,9,3,2010-04-13
JAXW202.2275,F,9,3,2010-04-13
JAXW202.2277,F,9,3,2010-04-13
JAXW202.2279,F,9,3,2010-04-13
JAXW202.2280,F,9,3,2010-04-13
JAXW202.2282,F,9,3,2010-04-13
JAXW202.2283,M,10,3,2010-04-13
JAXW202.2284,M,10,3,2010-04-13
JAXW202.2285,M,10,3,2010-04-13
JAXW202.2287,M,10,3,2010-04-13
JAXW202.2288,M,10,3,2010-04-13
JAXW202.2289,M,10,3,2010-04-13
JAXW202.2290,M,10,3,2010-04-13
JAXW202.2291,M,10,3,2010-04-13
JAXW202.2292,M,10,3,2010-04-13
JAXW202.2294,M,10,3,2010-04-13
JAXW202.2295,M,10,3,2010-04-13
JAXW202.2296,M,10,3,2010-04-13
JAXW202.2297,M,10,3,2010-04-13
JAXW202.2298,M,10,3,2010-04-13
JAXW202.2299,M,10,3,2010-04-13
JAXW202.2301,M,10,3,2010-04-13
JAXW202.2302,M,10,3,2010-04-13
JAXW202.2305,M,10,3,2010-04-13
JAXW202.2307,M,10,3,2010-04-13
JAXW202.2308,M,11,4,2010-07-20
JAXW202.2309,M,11,4,2010-07-20
JAXW202.2310,M,11,4,2010-07-20
JAXW202.2311,M,11,4,2010-07-20
JAXW202.2312,M,11,4,2010-07-20
JAXW202.2313,M,11,4,2010-07-20
JAXW202.2314,M,11,4,2010-07-20
JAXW202.2315,M,11,4,2010-07-20
JAXW202.2316,M,11,4,2010-07-20
JAXW202.2317,M,11,4,2010-07-20
JAXW202.2318,M,11,4,2010-07-20
JAXW202.2320,M,11,4,2010-07-20
JAXW202.2321,M,11,4,2010-07-20
JAXW202.2322,M,11,4,2010-07-20
JAXW202.2323,M,11,4,2010-07-20
JAXW202.2324,M,11,4,2010-07-20
JAXW202.2325,M,11,4,2010-07-20
JAXW202.2326,M,11,4,2010-07-20
JAXW202.2327,M,11,4,2010-07-20
JAXW202.2328,M,11,4,2010-07-20
JAXW202.2330,M,11,4,2010-07-20
JAXW202.2331,M,11,4,2010-07-20
JAXW202.2332,M,11,4,2010-07-20
JAXW202.2333,M,11,4,2010-07-20
JAXW202.2334,M,11,4,2010-07-20
JAXW202.2336,M,11,4,2010-07-20
JAXW202.2337,M,11,4,2010-07-20
JAXW202.2338,M,11,4,2010-07-20
JAXW202.2339,M,11,4,2010-07-20
JAXW202.2340,M,11,4,2010-07-20
JAXW202.2341,M,11,4,2010-07-20
JAXW202.2343,M,11,4,2010-07-20
JAXW202.2346,M,11,4,2010-07-20
JAXW202.2348,M,11,4,2010-07-20
JAXW202.2349,M,11,4,2010-07-20
JAXW202.2351,M,12,4,2010-07-20
JAXW202.2352,M,12,4,2010-07-20
JAXW202.2353,M,12,4,2010-07-20
JAXW202.2354,M,12,4,2010-07-20
JAXW202.2355,M,12,4,2010-07-20
JAXW202.2356,M,12,4,2010-07-20
JAXW202.2357,M,12,4,2010-07-20
JAXW202.2358,M,12,4,2010-07-20
JAXW202.2359,M,12,4,2010-07-20
JAXW202.2360,M,12,4,2010-07-20
JAXW202.2361,M,12,4,2010-07-20
JAXW202.2362,M,12,4,2010-07-20
JAXW202.2363,M,12,4,2010-07-20
JAXW202.2364,M,12,4,2010-07-20
JAXW202.2365,M,12,4,2010-07-20
JAXW202.2366,M,12,4,2010-07-20
JAXW202.2367,M,12,4,2010-07-20
JAXW202.2368,M,12,4,2010-07-20
JAXW202.2369,M,12,4,2010-07-20
JAXW202.2371,M,12,4,2010-07-20
JAXW202.2373,M,12,4,2010-07-20
JAXW202.2374,M,12,4,2010-07-20
JAXW202.2375,M,12,4,2010-07-20
JAXW202.2376,M,12,4,2010-07-20
JAXW202.2377,M,12,4,2010-07-20
JAXW202.2378,M,12,4,2010-07-20
JAXW202.2379,M,12,4,2010-07-20
JAXW202.2381,M,12,4,2010-07-20
JAXW202.2382,M,12,4,2010-07-20
JAXW202.2383,M,12,4,2010-07-20
JAXW202.2384,M,12,4,2010-07-20
JAXW202.2385,M,12,4,2010-07-20
JAXW202.2387,M,12,4,2010-07-20
JAXW202.2388,M,12,4,2010-07-20
JAXW202.2389,M,12,4,2010-07-20
JAXW202.2390,M,15,4,2010-07-20
JAXW202.2391,M,15,4,2010-07-20
JAXW202.2392,M,15,4,2010-07-20
JAXW202.2393,M,15,4,2010-07-20
JAXW202.2394,M,15,4,2010-07-20
JAXW202.2395,M,15,4,2010-07-20
JAXW202.2397,M,15,4,2010-07-20
JAXW202.2398,M,15,4,2010-07-20
JAXW202.2400,M,15,4,2010-07-20
JAXW202.2401,M,15,4,2010-07-20
JAXW202.2402,M,15,4,2010-07-20
JAXW202.2403,M,15,4,2010-07-20
JAXW202.2404,M,15,4,2010-07-20
JAXW202.2405,M,15,4,2010-07-20
JAXW202.2407,F,11,4,2010-07-20
JAXW202.2408,F,11,4,2010-07-20
JAXW202.2410,F,11,4,2010-07-20
JAXW202.2411,F,11,4,2010-07-20
JAXW202.2412,F,11,4,2010-07-20
JAXW202.2413,F,11,4,2010-07-20
JAXW202.2415,F,11,4,2010-07-20
JAXW202.2416,F,11,4,2010-07-20
JAXW202.2417,F,11,4,2010-07-20
JAXW202.2418,F,11,4,2010-07-20
JAXW202.2419,F,11,4,2010-07-20
JAXW202.2420,F,11,4,2010-07-20
JAXW202.2421,F,11,4,2010-07-20
JAXW202.2422,F,11,4,2010-07-20
JAXW202.2423,F,11,4,2010-07-20
JAXW202.2425,F,11,4,2010-07-20
JAXW202.2426,F,12,4,2010-07-20
JAXW202.2427,F,12,4,2010-07-20
JAXW202.2428,F,12,4,2010-07-20
JAXW202.2429,F,12,4,2010-07-20
JAXW202.2430,F,12,4,2010-07-20
JAXW202.2431,F,12,4,2010-07-20
JAXW202.2432,F,12,4,2010-07-20
JAXW202.2433,F,12,4,2010-07-20
JAXW202.2434,F,12,4,2010-07-20
JAXW202.2435,F,12,4,2010-07-20
JAXW202.2436,F,12,4,2010-07-20
JAXW202.2437,F,12,4,2010-07-20
JAXW202.2438,F,12,4,2010-07-20
JAXW202.2439,F,12,4,2010-07-20
JAXW202.2440,F,12,4,2010-07-20
JAXW202.2441,F,12,4,2010-07-20
JAXW202.2442,F,12,4,2010-07-20
JAXW202.2443,F,12,4,2010-07-20
JAXW202.2444,F,12,4,2010-07-20
JAXW202.2445,F,12,4,2010-07-20
JAXW202.2446,F,12,4,2010-07-20
JAXW202.2447,F,12,4,2010-07-20
JAXW202.2449,F,15,4,2010-07-20
JAXW202.2450,F,15,4,2010-07-20
JAXW202.2454,F,15,4,2010-07-20
JAXW202.2455,F,15,4,2010-07-20
JAXW202.2456,F,15,4,2010-07-20
JAXW202.2457,F,15,4,2010-07-20
JAXW202.2459,F,15,4,2010-07-20
JAXW202.2460,F,15,4,2010-07-20
JAXW202.2461,F,15,4,2010-07-20
JAXW202.2462,F,15,4,2010-07-20
JAXW202.2463,F,15,4,2010-07-20
JAXW202.2464,F,15,4,2010-07-20
JAXW202.2465,F,15,4,2010-07-20
JAXW202.2466,F,15,4,2010-07-20
JAXW202.2467,F,15,4,2010-07-20
JAXW202.2468,F,15,4,2010-07-20
JAXW202.2469,F,15,4,2010-07-20
JAXW202.2470,F,15,4,2010-07-20
JAXW202.2471,F,15,4,2010-07-20
JAXW202.2472,F,15,4,2010-07-20
JAXW202.2473,F,15,4,2010-07-20
JAXW202.2474,F,15,4,2010-07-20
JAXW202.2475,F,15,4,2010-07-20
JAXW202.2476,F,15,4,2010-07-20
JAXW202.2477,F,15,4,2010-07-20
JAXW202.2478,F,15,4,2010-07-20
JAXW202.2479,F,15,4,2010-07-20
JAXW202.2480,F,15,4,2010-07-20
JAXW202.2481,F,15,4,2010-07-20
JAXW202.2487,F,15,4,2010-07-20
JAXW202.2490,F,15,4,2010-07-20
JAXW202.2491,M,15,4,2010-07-20
JAXW202.2492,M,15,4,2010-07-20
JAXW202.2493,M,15,4,2010-07-20
JAXW202.2494,M,16,4,2010-07-20
JAXW202.2495,M,16,4,2010-07-20
JAXW202.2496,M,16,4,2010-07-20
JAXW202.2497,M,16,4,2010-07-20
JAXW202.2498,M,16,4,2010-07-20
JAXW202.2501,M,16,4,2010-07-20
JAXW202.2506,M,16,4,2010-07-20
JAXW202.2507,M,16,4,2010-07-20
JAXW202.2534,M,17,4,2010-07-20
JAXW202.2535,M,17,4,2010-07-20
JAXW202.2536,M,17,4,2010-07-20
JAXW202.2543,M,17,4,2010-07-20
JAXW202.2544,M,17,4,2010-07-20
JAXW202.2550,M,17,4,2010-07-20
JAXW202.2551,M,17,4,2010-07-20
JAXW202.2555,M,17,4,2010-07-20
JAXW202.2556,M,17,4,2010-07-20
JAXW202.2558,M,17,4,2010-07-20
JAXW202.2561,M,17,4,2010-07-20
JAXW202.2563,M,17,4,2010-07-20
JAXW202.2564,M,17,4,2010-07-20
JAXW202.2566,M,17,4,2010-07-20
JAXW202.2567,M,17,4,2010-07-20
JAXW202.2568,M,17,4,2010-07-20
JAXW202.2570,M,17,4,2010-07-20
JAXW202.2571,M,17,4,2010-07-20
JAXW202.2572,M,17,4,2010-07-20
JAXW202.2573,M,17,4,2010-07-20
JAXW202.2574,M,17,4,2010-07-20
JAXW202.2575,M,17,4,2010-07-20
JAXW202.2576,M,17,4,2010-07-20
JAXW202.2577,M,17,4,2010-07-20
JAXW202.2578,F,16,4,2010-07-20
JAXW202.2580,F,16,4,2010-07-20
JAXW202.2581,F,16,4,2010-07-20
JAXW202.2582,F,16,4,2010-07-20
JAXW202.2583,F,16,4,2010-07-20
JAXW202.2584,F,16,4,2010-07-20
JAXW202.2585,F,16,4,2010-07-20
JAXW202.2586,F,16,4,2010-07-20
