# genetic marker map from  Gray et al. (2015) Genetics 201:213-228
# nrow 11833
# ncol 3
marker,chr,pos
UNC010515443,1,0
UNC15185,1,0.0000000999999998363421
UNC21023,1,0.0362990992485175
UNC36398,1,0.821082545021457
JAX00241205,1,0.857410274242733
JAX00000353,1,0.968990794534042
JAX00241337,1,0.968990894534042
UNC010013426,1,1.00614504537278
UNC70761,1,1.00614514537278
UNC74840,1,1.00614524537278
UNC87305,1,1.11768815148232
JAX00241750,1,1.19197314659603
UNC89876,1,1.19197324659603
UNC96966,1,1.56486567587716
UNC99911,1,1.75111041223036
JAX00241881,1,1.75111051223036
UNC102088,1,1.75111061223036
UNC109624,1,1.7882647388921
UNC112302,1,1.7882648388921
JAX00241997,1,1.7882649388921
UNC119270,1,1.89976985689153
UNC119817,1,1.89976995689153
UNC120225,1,1.89977005689153
UNC122065,1,2.23474331268825
UNC123541,1,2.49504608009423
UNC123662,1,2.49504618009423
UNC125332,1,2.75463328630389
UNC129874,1,3.80114342259044
UNC130697,1,3.80114352259044
UNC131724,1,3.80114362259044
JAX00242345,1,3.80114372259044
UNC132450,1,3.80114382259044
UNC_rs50672660,1,4.02415595435561
UNC140543,1,4.32211653988752
JAX00000840,1,4.37119265527735
UNC153710,1,4.61966456300325
UNC154487,1,4.65660480529639
UNC155247,1,4.65660490529639
UNC164943,1,6.34300124877481
UNC166915,1,6.34300134877481
UNC172447,1,6.41724825338399
UNC010687234,1,6.56576466072661
UNC197893,1,6.97501751363382
UNC228500,1,7.98407519887951
UNC231492,1,7.9840752988795
UNC246230,1,8.35613531333568
JAX00244057,1,8.80302186204315
UNC254822,1,8.80302196204315
UNC257250,1,8.9145267756821
UNC257864,1,8.9145268756821
JAX00001464,1,10.0731308445902
UNC268149,1,10.0731309445902
UNC268995,1,10.0731310445902
UNC272451,1,10.0731311445902
UNC275165,1,10.5946136010928
UNC276402,1,10.5946137010928
JAX00244336,1,10.5946138010928
UNC287500,1,11.0042952749004
UNC289411,1,11.2272496217896
UNC291039,1,11.2272497217896
UNC291812,1,11.2272498217896
UNC292291,1,11.2272499217896
JAX00244609,1,11.2272500217896
UNC295267,1,11.8234396057633
UNC298468,1,11.8234397057633
UNC300940,1,11.8234398057633
UNC301459,1,11.8234399057633
UNC308448,1,12.0833027690647
JAX00001692,1,12.9054330583904
UNC313243,1,12.9417942547846
UNC323488,1,12.9417943547846
UNC361622,1,13.1649336172781
backupUNC010059535,1,13.1649337172781
UNC365663,1,13.2020878614633
backupUNC010060568,1,13.2020879614633
UNC371950,1,13.2020880614633
backupUNC010061308,1,13.2020881614633
UNC375681,1,13.239242328792
UNC376451,1,13.239242428792
UNC384787,1,13.313606332637
UNC385417,1,13.313606432637
UNC386248,1,13.387970298889
UNC389166,1,13.387970398889
UNC389352,1,13.387970498889
UNC390703,1,13.387970598889
UNC400048,1,14.0589405350314
JAX00002267,1,14.0589406350314
UNC402814,1,14.0589407350314
UNC404611,1,14.0589408350314
UNC406061,1,14.0589409350314
UNC406743,1,14.0589410350314
JAX00246144,1,14.0589411350314
UNC409387,1,14.0589412350314
UNC409541,1,14.0589413350314
UNC410424,1,14.0589414350314
JAX00246189,1,14.319350925888
UNC411848,1,14.319351025888
UNC413286,1,14.654227408097
UNC413360,1,14.654227508097
UNC413954,1,14.654227608097
UNC414561,1,14.654227708097
UNC010442447,1,14.654227808097
UNC415288,1,14.654227908097
JAX00246252,1,14.654228008097
UNC416008,1,14.654228108097
UNC418392,1,14.654228208097
UNC418645,1,14.654228308097
backupUNC010066723,1,14.6907423384776
JAX00002354,1,15.3626676431916
UNC423396,1,15.7348130079301
UNC427689,1,15.8461316102122
UNC429302,1,15.8823424785745
UNC438077,1,16.7795611278638
UNC442185,1,17.0020222551195
UNC443247,1,17.0020223551195
JAX00002454,1,17.039178863146
UNC445897,1,17.076221110524
UNC453980,1,17.2250346134849
UNC454349,1,17.2250347134849
UNC455417,1,17.3737359405437
UNC455695,1,17.3737360405437
UNC460218,1,17.4108900677508
UNC464597,1,17.4479321154315
UNC468545,1,17.596597393738
UNC470039,1,17.8943777419058
UNC471746,1,17.8943778419058
UNC472065,1,17.8943779419058
UNC472554,1,17.8943780419058
UNC472864,1,17.8943781419058
UNC473155,1,17.8943782419058
UNC473267,1,17.8943783419058
UNC481045,1,18.0802896329513
UNC481370,1,18.0802897329513
JAX00002664,1,18.0802898329513
UNC487441,1,18.117443945032
JAX00247780,1,18.117444045032
UNC487589,1,18.117444145032
UNC488354,1,18.117444245032
UNC492646,1,18.3778583503145
UNC496336,1,18.600958901126
UNC496797,1,18.600959001126
UNC497379,1,18.6753184402872
JAX00247992,1,18.7123980393151
UNC500236,1,18.7867576284541
UNC500690,1,18.7867577284541
UNC501434,1,18.7867578284541
UNC501856,1,18.7867579284541
UNC502074,1,18.7867580284541
JAX00002762,1,18.7867581284541
UNC502670,1,18.9726699414888
UNC503702,1,19.1585819930098
UNC010073213,1,19.1585820930098
JAX00248180,1,19.1585821930098
UNC507009,1,19.1585822930098
UNC507751,1,19.2329046100928
UNC507882,1,19.2329047100928
UNC508264,1,19.2329048100928
UNC508517,1,19.2329049100928
UNC509094,1,19.2700230125298
JAX00248243,1,19.3443839920935
JAX00248251,1,19.3443840920935
UNC509809,1,19.3443841920935
UNC509907,1,19.3443842920935
UNC510223,1,19.4228481380044
UNC511433,1,19.9774916448496
UNC511891,1,19.9774917448496
UNC512234,1,19.9774918448496
JAX00002816,1,19.9774919448496
UNC513219,1,19.9774920448496
JAX00002820,1,19.9774921448496
UNC514382,1,19.9774922448496
backupUNC010074862,1,19.9774923448496
UNC515038,1,19.9774924448496
UNC515205,1,19.9774925448496
UNC516877,1,20.1261924482735
JAX00248375,1,20.2763676934081
UNC520487,1,20.2763677934081
UNC521141,1,20.5384437238395
UNC521970,1,20.5753718708825
UNC523568,1,20.5753719708825
UNC525479,1,20.5753720708825
UNC526214,1,20.5753721708825
JAX00248499,1,20.686886263437
JAX00002914,1,20.7984004388071
UNC533184,1,20.7984005388071
UNC533757,1,20.8723480972781
UNC534504,1,21.3195061116376
UNC534538,1,21.3195062116376
UNC536810,1,21.6938079621463
UNC539732,1,22.7806072827838
JAX00248723,1,22.7806073827838
UNC541737,1,22.7806074827838
UNC542228,1,22.7806075827838
UNC543566,1,22.7806076827838
UNC544678,1,23.0782329245229
UNC545603,1,23.0782330245229
JAX00002992,1,23.1525549933303
JAX00248843,1,23.1525550933303
UNC547351,1,23.1525551933303
JAX00248853,1,23.1525552933303
UNC547697,1,23.1525553933303
UNC547859,1,23.1525554933303
UNC548872,1,23.1525555933303
JAX00248878,1,23.1525556933303
UNC549131,1,23.1525557933303
UNC550060,1,23.1525558933303
UNC550476,1,23.1525559933303
UNC010078808,1,23.1525560933303
UNC551425,1,23.1525561933303
UNC551663,1,23.1525562933303
JAX00248937,1,23.1525563933303
UNC551990,1,23.1525564933303
UNC552818,1,23.1525565933303
UNC553082,1,23.1525566933303
UNC553849,1,23.1525567933303
UNC554590,1,23.1525568933303
CEAJAX00249056,1,23.3385428371844
UNC562450,1,23.4499034672014
UNC570893,1,23.6360452615288
JAX00249318,1,23.6730498445613
UNC578793,1,23.6730499445613
UNC011275068,1,23.6730500445613
backupUNC010086952,1,23.6730501445613
UNC587430,1,23.6730502445613
UNC589868,1,23.6730503445613
UNC591481,1,23.6730504445613
UNC010712538,1,23.6730505445613
UNC595722,1,23.6730506445613
JAX00249676,1,23.6730507445613
backupUNC010089879,1,23.7102048465259
JAX00003279,1,23.7102049465259
UNC597735,1,23.7102050465259
JAX00249717,1,23.7102051465259
UNC605533,1,23.7102052465259
JAX00250261,1,24.3063604016077
repJAX00250261,1,24.3063605016077
backupJAX00003592,1,24.3805325185784
UNC653165,1,24.603816041088
UNC653383,1,24.603816141088
UNC653694,1,24.6408839700515
UNC654157,1,24.7634814471235
UNC656936,1,25.0501289071742
UNC657187,1,25.0501290071742
UNC657492,1,25.0501291071742
UNC660238,1,25.0872831370431
UNC660770,1,25.0872832370431
JAX00250526,1,25.0872833370431
UNC661198,1,25.0872834370431
UNC661499,1,25.1244374671417
UNC661934,1,25.1244375671417
JAX00250556,1,25.1244376671417
UNC663025,1,25.1244377671417
UNC667141,1,25.1612167723648
JAX00250823,1,25.5710509367878
UNC674092,1,25.5710510367878
JAX00250849,1,25.6082052732364
UNC675172,1,25.6082053732364
UNC683922,1,25.8226203987792
UNC699324,1,26.1664815998851
UNC699866,1,26.3895314622771
UNC705778,1,26.5754025971261
UNC711145,1,26.5754026971261
UNC713154,1,26.5754027971261
UNC714139,1,26.5754028971261
UNC718116,1,26.6125568695692
UNC719247,1,26.6497109853789
UNC721751,1,26.6868649578068
UNC722178,1,26.6868650578068
UNC723639,1,26.6868651578068
JAX00004020,1,26.6868652578068
UNC725132,1,26.7611869579223
JAX00251867,1,26.7611870579223
UNC726590,1,26.7611871579223
UNC728238,1,26.7611872579223
UNC010731340,1,26.7611873579223
UNC733960,1,26.7982665643358
JAX00252033,1,26.9098823888875
UNC738265,1,26.9841667012634
UNC740698,1,26.9841668012634
UNC740835,1,26.9841669012634
JAX00252121,1,26.9841670012634
JAX00191847,1,27.4309306141449
backupUNC010733471,1,27.4309307141449
JAX00004261,1,27.4678971243864
UNC764506,1,27.6911807050437
JAX00191891,1,27.9515884162386
UNC779897,1,27.9515885162386
UNC780397,1,27.9515886162386
backupUNC010738940,1,27.9515887162386
UNC786420,1,28.1003999851975
UNC789712,1,28.1372926357606
JAX00252972,1,28.3233518456872
UNC795154,1,28.3233519456872
UNC_rs31392164,1,28.3233520456872
UNC797153,1,28.3605019597459
UNC801098,1,28.4014799055451
UNC803232,1,28.7324193950395
UNC804306,1,29.179299268578
UNC804718,1,29.179299368578
UNC804981,1,29.179299468578
JAX00253205,1,29.179299568578
UNC817672,1,29.4597707581394
UNC822146,1,29.6998764555462
JAX00253571,1,30.1468731522915
UNC831260,1,30.1468732522915
UNC833920,1,30.3329318756638
JAX00004743,1,30.3699364275792
UNC836407,1,30.3699365275792
UNC837204,1,30.3699366275792
UNC840480,1,30.4442588377109
UNC842856,1,30.4442589377109
UNC846359,1,30.5179793192637
JAX00254003,1,31.1895001951964
JAX00004915,1,31.1895002951964
JAX00004919,1,31.3754099271702
UNC868588,1,31.3754100271702
JAX00004936,1,31.4497321049412
UNC872147,1,31.4497322049412
UNC873228,1,31.4868851999871
UNC875089,1,31.4868852999871
UNC888180,1,32.5701211420463
UNC888516,1,32.5701212420463
UNC890096,1,32.5701213420463
UNC890786,1,32.5701214420463
UNC893744,1,32.5701215420463
UNC897049,1,32.5701216420463
UNC897815,1,32.5701217420463
UNC898113,1,32.5701218420463
UNC898257,1,32.5701219420463
UNC899282,1,32.5701220420463
UNC899363,1,32.5701221420463
JAX00254420,1,32.5701222420463
UNC903462,1,32.6816962584267
JAX00254507,1,32.7238621321804
JAX00254642,1,32.9791095006702
UNC919161,1,33.2767827545905
UNC922022,1,33.2767828545905
JAX00254910,1,33.7608962139077
