# Physical map for Maize MAGIC from Dell'acqua et al (2015) doi:10.1186/s13059-015-0716-z
# nrow 41325
# ncol 3
marker,chr,pos_cM
SYN83,1,0.003498
PZE.101000060,1,0.157104
PZE.101000088,1,0.238347
PZE.101000083,1,0.239225
PZE.101000111,1,0.263938
PZE.101000161,1,0.325012
PZE.101000169,1,0.379844
PZE.101000209,1,0.39538
PZE.101000256,1,0.485953
PZE.101000301,1,0.613257
PZE.101000344,1,0.659354
PZE.101000348,1,0.678882
PZE.101000349,1,0.679575
PZE.101000360,1,0.761163
PZE.101000370,1,0.82225
PZE.101000424,1,0.980088
PZE.101000431,1,0.990443
PZE.101000442,1,0.991635
PZE.101000451,1,0.997636
SYN8296,1,1.001284
PZE.101000530,1,1.165674
PZE.101000610,1,1.398132
PZE.101000659,1,1.565022
PZE.101000671,1,1.566002
PZE.101000673,1,1.566869
PZE.101000740,1,1.664044
PZE.101000754,1,1.684506
PZE.101000760,1,1.746786
PZE.101000775,1,1.752455
PZE.101000788,1,1.759809
SYN9660,1,1.778874
SYN9659,1,1.786977
SYN10558,1,1.955038
PZE.101001094,1,2.036643
PZE.101001103,1,2.037735
PZE.101001107,1,2.04119
PZE.101001108,1,2.041858
SYN10560,1,2.042135
PZE.101001114,1,2.042426
PZE.101001115,1,2.042906
PZE.101001116,1,2.043454
SYN13279,1,2.085905
SYN13282,1,2.089617
SYN6001,1,2.208377
PZE.101001280,1,2.304392
PZE.101001320,1,2.334211
PZE.101001380,1,2.426542
SYN27251,1,2.432669
PZE.101001587,1,2.685502
SYN38927,1,2.691547
SYN35330,1,2.733898
SYN35346,1,2.737842
SYN35327,1,2.738079
SYN35339,1,2.73843
SYN35335,1,2.738577
SYN35336,1,2.740474
SYN35329,1,2.74057
SYN35333,1,2.751198
SYN35328,1,2.752167
SYN35344,1,2.753218
SYN38932,1,2.78188
SYN38934,1,2.782105
SYN38928,1,2.782914
SYNGENTA5822,1,2.793821
SYN38926,1,2.794367
PUT.163a.16926058.1127,1,2.799097
SYN35337,1,2.868748
PZE.101002081,1,2.893568
PZA03613.2,1,2.934065
SYN2547,1,2.934293
SYN2548,1,2.93447
SYN2545,1,3.007708
PZE.101002282,1,3.020236
SYN11121,1,3.028346
SYN11115,1,3.029996
SYN11114,1,3.031928
PZE.101002367,1,3.033482
SYN11122,1,3.07099
SYN11127,1,3.071633
SYNGENTA17310,1,3.123811
SYN30742,1,3.174592
SYN30740,1,3.178651
SYN30750,1,3.178894
SYN30751,1,3.179002
SYN30756,1,3.179074
SYN30757,1,3.17911
SYN30738,1,3.183964
SYN30746,1,3.186869
SYN30752,1,3.18687
SYN30737,1,3.188766
PZE.101002887,1,3.263529
SYN30755,1,3.274067
PZE.101003026,1,3.27577
PZE.101003031,1,3.277689
PZE.101003115,1,3.349538
PZE.101003133,1,3.35329
PZE.101003135,1,3.354818
SYN9381,1,3.357881
SYN9380,1,3.35792
SYN9363,1,3.358315
SYN9377,1,3.360978
SYN9378,1,3.361555
SYN9361,1,3.399174
SYNGENTA16820,1,3.399295
SYN9365,1,3.400694
SYN9368,1,3.400775
PZE.101003785,1,3.659205
SYN11492,1,3.659227
SYN11486,1,3.659496
SYN11494,1,3.70177
SYN11485,1,3.701984
SYN11493,1,3.702174
SYN11490,1,3.702843
SYN11500,1,3.703451
SYN11501,1,3.703518
SYN11503,1,3.703544
SYN11491,1,3.704312
PZA02129.1,1,3.726823
PZE.101004337,1,3.824154
PZE.101004387,1,3.87637
SYN15069,1,3.883288
SYN15073,1,3.887103
PZE.101004923,1,4.015257
SYN10467,1,4.016241
SYN10459,1,4.018483
SYN10469,1,4.034381
PZA00393.1,1,4.186914
PUT.163a.29543981.1758,1,4.235114
PUT.163a.29543981.1757,1,4.235133
SYN5934,1,4.300647
SYN5936,1,4.302363
SYN5935,1,4.35162
PZE.101005818,1,4.445909
SYN7380,1,4.59707
SYN7378,1,4.597575
PZA02869.8,1,4.601671
PZE.101005765,1,4.602916
PZE.101005766,1,4.603133
PZE.101005770,1,4.60401
SYN7752,1,4.709266
SYN7755,1,4.714382
PUT.163a.50325923.2183,1,4.752207
PUT.163a.50325923.2184,1,4.752245
SYN10708,1,4.758467
SYN10711,1,4.759559
SYN10714,1,4.759943
SYN10715,1,4.75996
SYN10709,1,4.761907
PZE.101006745,1,4.790054
PZE.101006890,1,4.987185
SYN11315,1,4.988115
ZM013498.0200,1,4.996405
SYN11325,1,5.086512
PZE.101007769,1,5.240995
SYN36149,1,5.320581
SYN36150,1,5.320613
SYN36142,1,5.320774
SYN36143,1,5.321114
PZA01022.1,1,5.321239
SYN36146,1,5.331677
SYN10139,1,5.432497
