# physical marker map from  Gray et al. (2015) Genetics 201:213-228
# nrow 11833
# ncol 3
marker,chr,pos
UNC010515443,1,3.658709
UNC15185,1,4.347901
UNC21023,1,4.799357
UNC36398,1,6.519513
JAX00241205,1,6.746102
JAX00000353,1,7.688129
JAX00241337,1,7.761613
UNC010013426,1,8.83322
UNC70761,1,8.855169
UNC74840,1,9.146643
UNC87305,1,10.088334
JAX00241750,1,10.269784
UNC89876,1,10.351805
UNC96966,1,10.954249
UNC99911,1,11.137783
JAX00241881,1,11.174557
UNC102088,1,11.242291
UNC109624,1,11.633696
UNC112302,1,11.783334
JAX00241997,1,11.822633
UNC119270,1,12.308785
UNC119817,1,12.361315
UNC120225,1,12.387863
UNC122065,1,12.596739
UNC123541,1,12.719684
UNC123662,1,12.731062
UNC125332,1,12.870567
UNC129874,1,13.120045
UNC130697,1,13.192357
UNC131724,1,13.277137
JAX00242345,1,13.316144
UNC132450,1,13.346284
UNC_rs50672660,1,13.643779
UNC140543,1,13.88064
JAX00000840,1,14.287199
UNC153710,1,14.825449
UNC154487,1,14.866769
UNC155247,1,14.899115
UNC164943,1,15.580227
UNC166915,1,15.706494
UNC172447,1,16.096717
UNC010687234,1,16.971751
UNC197893,1,17.997473
UNC228500,1,20.158526
UNC231492,1,20.384927
UNC246230,1,21.251828
JAX00244057,1,21.724793
UNC254822,1,21.782783
UNC257250,1,21.944614
UNC257864,1,21.98197
JAX00001464,1,22.671028
UNC268149,1,22.72126
UNC268995,1,22.767843
UNC272451,1,22.997827
UNC275165,1,23.190072
UNC276402,1,23.315591
JAX00244336,1,23.341122
UNC287500,1,24.048963
UNC289411,1,24.175304
UNC291039,1,24.279656
UNC291812,1,24.312029
UNC292291,1,24.342217
JAX00244609,1,24.363382
UNC295267,1,24.516479
UNC298468,1,24.739294
UNC300940,1,24.901978
UNC301459,1,24.937859
UNC308448,1,25.531586
JAX00001692,1,25.754788
UNC313243,1,25.863857
UNC323488,1,26.511959
UNC361622,1,29.634567
backupUNC010059535,1,29.644011
UNC365663,1,30.066465
backupUNC010060568,1,30.077708
UNC371950,1,30.77246
backupUNC010061308,1,30.831642
UNC375681,1,31.160214
UNC376451,1,31.210543
UNC384787,1,32.059645
UNC385417,1,32.139079
UNC386248,1,32.252458
UNC389166,1,32.455171
UNC389352,1,32.47564
UNC390703,1,32.621419
UNC400048,1,33.300681
JAX00002267,1,33.427021
UNC402814,1,33.504081
UNC404611,1,33.599379
UNC406061,1,33.706146
UNC406743,1,33.754196
JAX00246144,1,33.845963
UNC409387,1,33.917828
UNC409541,1,33.924528
UNC410424,1,33.959119
JAX00246189,1,34.00421
UNC411848,1,34.023753
UNC413286,1,34.098546
UNC413360,1,34.103613
UNC413954,1,34.141816
UNC414561,1,34.170548
UNC010442447,1,34.17586
UNC415288,1,34.204056
JAX00246252,1,34.230041
UNC416008,1,34.235468
UNC418392,1,34.368639
UNC418645,1,34.381694
backupUNC010066723,1,34.470337
JAX00002354,1,34.570201
UNC423396,1,34.654655
UNC427689,1,34.872458
UNC429302,1,35.008097
UNC438077,1,35.522229
UNC442185,1,35.79466
UNC443247,1,35.862286
JAX00002454,1,35.935818
UNC445897,1,36.009508
UNC453980,1,36.524772
UNC454349,1,36.5574
UNC455417,1,36.647586
UNC455695,1,36.678386
UNC460218,1,36.999108
UNC464597,1,37.279812
UNC468545,1,37.618339
UNC470039,1,37.735993
UNC471746,1,37.939455
UNC472065,1,37.963891
UNC472554,1,38.019319
UNC472864,1,38.063892
UNC473155,1,38.099593
UNC473267,1,38.120717
UNC481045,1,38.680743
UNC481370,1,38.710099
JAX00002664,1,38.728201
UNC487441,1,39.071574
JAX00247780,1,39.072916
UNC487589,1,39.078862
UNC488354,1,39.110806
UNC492646,1,39.419476
UNC496336,1,39.666648
UNC496797,1,39.689971
UNC497379,1,39.720119
JAX00247992,1,39.78925
UNC500236,1,39.878674
UNC500690,1,39.902674
UNC501434,1,39.955637
UNC501856,1,39.980967
UNC502074,1,39.993146
JAX00002762,1,40.016595
UNC502670,1,40.038438
UNC503702,1,40.114612
UNC010073213,1,40.194101
JAX00248180,1,40.324523
UNC507009,1,40.327435
UNC507751,1,40.372261
UNC507882,1,40.381054
UNC508264,1,40.420041
UNC508517,1,40.432266
UNC509094,1,40.467118
JAX00248243,1,40.489644
JAX00248251,1,40.496229
UNC509809,1,40.515533
UNC509907,1,40.52103
UNC510223,1,40.540971
UNC511433,1,40.620135
UNC511891,1,40.645519
UNC512234,1,40.672119
JAX00002816,1,40.742373
UNC513219,1,40.748812
JAX00002820,1,40.812297
UNC514382,1,40.817685
backupUNC010074862,1,40.848092
UNC515038,1,40.855167
UNC515205,1,40.864433
UNC516877,1,40.949387
JAX00248375,1,41.051883
