# Genetic map for Maize MAGIC from Dell'Acqua et al (2015) doi:10.1186/s13059-015-0716-z
# nrow 41324
# ncol 3
Marker,Chr,cM
SYN83,1,0.000145307779989565
PZE.101000060,1,0.00652613878429978
PZE.101000088,1,0.00990099297803684
PZE.101000083,1,0.00993746531389471
PZE.101000111,1,0.01096404940963
PZE.101000161,1,0.0135010783847823
PZE.101000169,1,0.0157788131453277
PZE.101000209,1,0.0164241824048811
PZE.101000256,1,0.0201866070924154
PZE.101000301,1,0.0254748465503318
PZE.101000344,1,0.0273897272633618
PZE.101000348,1,0.0282009251843556
PZE.101000349,1,0.0282297125747309
PZE.101000360,1,0.0316188981532868
PZE.101000370,1,0.0341564671516352
PZE.101000424,1,0.0407130964763902
PZE.101000431,1,0.0411432457221855
PZE.101000442,1,0.0411927616952408
PZE.101000451,1,0.0414420447105974
SYN8296,1,0.0415935835274648
PZE.101000530,1,0.0484223845430407
PZE.101000610,1,0.407515730400288
PZE.101000659,1,0.450191100284179
PZE.101000671,1,0.45044169566129
PZE.101000673,1,0.450663395857164
PZE.101000740,1,0.475511973174362
PZE.101000754,1,0.480744302364632
PZE.101000760,1,0.496669894289664
PZE.101000775,1,0.498119511833386
PZE.101000788,1,0.844373941109144
SYN9660,1,0.848104737569013
SYN9659,1,0.84969039944755
SYN10558,1,0.882577962198249
PZE.101001094,1,0.898547101726579
PZE.101001103,1,0.898760793294068
PZE.101001107,1,0.899436896193037
PZE.101001108,1,0.899567615943113
SYN10560,1,0.89962182158798
PZE.101001114,1,0.899678766868327
PZE.101001115,1,0.899772697227663
PZE.101001116,1,0.899879934387904
SYN13279,1,0.908187096229914
SYN13282,1,0.908913491008777
SYN6001,1,0.932153427414445
PZE.101001280,1,1.04655875212339
PZE.101001320,1,1.04780822939529
PZE.101001380,1,1.14974813671733
SYN27251,1,1.42114544163635
PZE.101001587,1,1.44932622391509
SYN38927,1,1.74463363460886
SYN35330,1,1.74926964098709
SYN35346,1,1.74970137599113
SYN35327,1,1.74972731949923
SYN35339,1,1.74976574216313
SYN35335,1,1.74978183370613
SYN35336,1,1.74998949123722
