marker,chr,pos
backupUNC020000070,2,3.164247
JAX00090716,2,4.248664
UNC020362379,2,5.965435
JAX00482758,2,7.730311
UNC020363105,2,8.148141
UNC020006990,2,9.355735
JAX00091167,2,10.310253
backupUNC020008953,2,11.009366
JAX00483492,2,12.053017
backupJAX00215642,2,13.714945
JAX00091495,2,14.654877
JAX00483956,2,15.446699
JAX00091646,2,16.683973
backupJAX00484170,2,17.568726
UNC020367883,2,19.239481
UNC020369170,2,19.798271
UNC020012740,2,20.975044
backupJAX00485143,2,23.442194
backupUNC020379988,2,24.135546
JAX00092279,2,25.284875
JAX00485514,2,25.649555
backupUNC020013428,2,26.139174
backupUNC020014032,2,26.373151
backupUNC020016944,2,28.893523
UNC020017461,2,29.399648
backupUNC020017828,2,29.754013
UNC021010863,2,31.251256
JAX00486934,2,34.056208
backupJAX00093057,2,35.644371
JAX00216253,2,41.016855
UNC020028580,2,41.870701
UNC020035088,2,43.643815
UNC020307473,2,44.235715
UNC020307573,2,45.033206
backupUNC020044311,2,47.999477
backupJAX00094100,2,49.678338
UNC020060188,2,51.73269
JAX00489934,2,55.091914
JAX00490136,2,56.67765
UNC020076963,2,57.658939
UNC_rs28042522,2,59.19215
backupUNC020080085,2,59.866851
backupUNC020082225,2,60.802296
JAX00095051,2,62.435087
backupUNC021167059,2,63.39415
JAX00095208,2,64.550814
backupUNC020086545,2,65.139084
UNC020087824,2,66.258021
UNC020094649,2,69.228719
JAX00095623,2,70.082637
UNC020095069,2,70.570989
UNC020401934,2,70.916445
UNC020096714,2,71.710115
JAX00492978,2,72.665044
backupUNC020098420,2,74.952171
UNC020099315,2,75.56244
UNC020103640,2,77.364192
backupUNC021817853,2,78.352549
UNC020413176,2,79.350701
UNC021821604,2,80.270146
JAX00096463,2,81.335288
UNC020423988,2,84.701151
UNC020441894,2,89.537085
backupUNC020444088,2,91.601751
JAX00496857,2,94.368467
UNC020114284,2,96.842226
backupUNC021331957,2,98.29621
UNC020459944,2,101.386616
JAX00498409,2,103.877838
UNC020131877,2,106.035673
UNC020133662,2,107.068561
UNC020317359,2,110.412951
UNC020482506,2,113.240731
UNC020140262,2,114.796919
UNC020142980,2,116.150292
backupUNC020488522,2,117.725418
UNC020151798,2,118.995414
backupUNC020492847,2,121.707423
UNC020186170,2,125.243955
UNC020187887,2,127.359499
UNC020765338,2,128.517229
backupJAX00503740,2,131.189555
backupUNC021453120,2,132.21999
UNC020198084,2,132.596476
UNC020201653,2,134.462008
UNC021478196,2,135.851153
backupJAX00504771,2,136.362959
UNC020205216,2,137.552285
backupUNC021894033,2,139.22703
JAX00100795,2,139.940553
backupUNC021779979,2,141.224276
JAX00100983,2,142.447785
UNC020504947,2,145.478803
backupUNC020520144,2,147.792695
JAX00506866,2,148.753356
JAX00101561,2,150.206669
UNC020227334,2,150.818471
UNC020230950,2,152.699661
UNC020538069,2,154.006866
UNC020233842,2,154.468593
UNC020241827,2,155.849505
UNC020248157,2,157.015398
backupUNC020249837,2,158.247527
UNC020251618,2,159.04465
backupUNC020253086,2,159.421878
UNC020256510,2,160.723842
UNC020257161,2,161.319656
backupUNC020547744,2,161.996715
backupUNC020548787,2,162.538684
UNC020266358,2,163.216671
UNC021859649,2,164.670658
backupUNC020552380,2,165.746207
backupJAX00510901,2,167.342926
backuprs27328830,2,167.827048
backupJAX00102906,2,168.148672
backupUNC020284106,2,169.536146
UNC020285948,2,170.218576
backupUNC020554460,2,170.586129
JAX00103117,2,170.930181
UNC020329635,2,171.559132
UNC020655905,2,172.246596
backupUNC020656656,2,173.639612
backupUNC020295237,2,174.079669
UNC021713399,2,177.859824
UNC020555613,2,179.08578
UNC020776755,2,179.966445
UNC021736650,2,181.56725
backupUNC030729939,3,3.163885
UNC030764068,3,9.300536
UNC030330798,3,10.755757
UNC030810390,3,15.020063
JAX00104749,3,16.787034
backupUNC030831745,3,18.042937
backupUNC030018403,3,19.666574
UNC030019307,3,20.679416
JAX00105209,3,22.918857
UNC031787933,3,23.390166
backupUNC030878520,3,23.794517
backupUNC030881249,3,24.592951
UNC030884413,3,25.794547
backupUNC030025601,3,27.790943
UNC030026622,3,28.08597
backupJAX00517811,3,28.665048
backupUNC030027112,3,30.125864
backupJAX00105776,3,30.524552
UNC030305274,3,31.208378
UNC030031869,3,32.378673
backupUNC030397650,3,33.921072
JAX00106081,3,34.59235
UNC030038161,3,36.326858
backupUNC030041565,3,36.762933
JAX00106431,3,39.256484
UNC030065366,3,41.542653
UNC030421507,3,45.939488
backuprs47468865,3,48.187493
backupUNC030071070,3,51.662299
UNC030661179,3,52.246072
UNC030074556,3,52.973026
JAX00523361,3,54.324095
JAX00523492,3,54.962092
backupJAX00107677,3,56.058148
UNC030456578,3,56.495903
JAX00107800,3,57.690897
UNC030460985,3,58.518756
JAX00108034,3,60.844953
backupUNC031096286,3,65.172902
JAX00525579,3,67.014113
JAX00525718,3,67.857847
UNC030088171,3,68.743484
backupUNC030474070,3,73.121646
backupUNC030474244,3,73.408275
UNC030103315,3,74.976712
UNC030107226,3,76.773277
JAX00527615,3,79.422986
UNC030484421,3,80.386201
JAX00109598,3,81.758965
backupUNC030619800,3,82.778059
UNC030314351,3,85.464825
backupUNC030491543,3,87.723036
JAX00529551,3,88.8564
UNC031750934,3,91.288217
backupUNC030148203,3,94.595346
backupUNC031289758,3,95.979338
UNC030152534,3,97.701351
UNC030497760,3,99.794174
backupUNC030498753,3,100.692862
backuprs47476405,3,102.281675
backupUNC030160320,3,103.114754
UNC030164357,3,104.756598
backupUNC031344859,3,106.48273
UNC030679974,3,108.496003
backupJAX00111594,3,108.853605
UNC030167837,3,110.590694
UNC030174471,3,112.393882
backupUNC030517272,3,115.29519
UNC030184442,3,116.06282
UNC030522706,3,117.858371
backupUNC030634749,3,119.542755
backupJAX00112535,3,121.679028
backupUNC030196962,3,122.706685
JAX00221552,3,124.279496
backupUNC030554242,3,126.198177
UNC030213875,3,127.283119
UNC030222589,3,128.154375
UNC030323436,3,129.645016
backupJAX00537639,3,130.35899
UNC030230440,3,131.127514
JAX00221691,3,132.632944
JAX00113456,3,134.048247
JAX00113574,3,135.626767
UNC030237825,3,137.317747
UNC030241721,3,138.382385
UNC030558559,3,140.374071
UNC030262102,3,141.679469
backupJAX00114148,3,143.284507
backupUNC030267817,3,144.005528
backupUNC030269400,3,144.666385
JAX00114333,3,145.767747
UNC030276220,3,148.3909
JAX00541715,3,148.611352
UNC030281570,3,150.434535
backupJAX00542382,3,152.306582
JAX00542541,3,153.228174
backupUNC030291736,3,153.612662
UNC030688436,3,154.897082
backupUNC030566351,3,155.63001
JAX00543238,3,157.114388
UNC030298778,3,158.364187
JAX00115348,3,159.490311
UNC200000454,X,5.503248
JAX00708647,X,6.581032
UNC200292334,X,7.907362
JAX00709018,X,9.622234
backupUNC200249354,X,10.7118
backupUNC200310334,X,11.244802
backupJAX00709270,X,11.72954
backupUNC200316908,X,12.326389
UNC200089428,X,13.406552
JAX00709553,X,14.090266
JAX00709598,X,14.715571
UNC200334548,X,15.231583
JAX00709715,X,15.915022
JAX00177453,X,16.464068
JAX00177505,X,17.171559
UNC200349871,X,18.130096
backupJAX00709954,X,18.875261
UNC200357719,X,19.430099
JAX00177716,X,20.106808
JAX00177765,X,20.781912
backupJAX00710201,X,21.733693
UNC200381325,X,23.768036
UNC200007340,X,35.520887
backupUNC200383023,X,36.741124
JAX00710480,X,37.939704
UNC200007700,X,38.539035
JAX00178458,X,42.981911
JAX00178595,X,44.928162
JAX00178691,X,46.408007
UNC200071840,X,48.100399
JAX00178992,X,50.423972
backupUNC200011184,X,50.72464
backupUNC200011470,X,51.779369
backupUNC200012541,X,53.069744
UNC200092423,X,54.116801
UNC_rs47654132,X,57.101675
backupUNC200013645,X,57.855688
UNC200014226,X,58.922155
backupJAX00712427,X,60.928646
backupUNC200093900,X,63.710486
backupUNC200098152,X,69.213997
backupUNC200017097,X,69.975424
UNC200018029,X,71.483811
UNC_rs8251020,X,73.724608
JAX00713872,X,74.572566
UNC200106288,X,83.98325
UNC200023468,X,84.900225
backupUNC200586059,X,90.513727
UNC200593068,X,92.157633
JAX00715929,X,95.069663
backupUNC200109114,X,97.072057
