# covariate data from Gray et al. (2015) Genetics 201:213-228
# nrow 1212
# ncol 10
ID,sex,Mom,Dad,grandparents,Cross,direction,DOB,wean,pgm
1419,F,1082,1080,784:687,B,GW,2012-07-28,2012-08-21,0
1422,M,1082,1080,784:687,B,GW,2012-07-28,2012-08-21,0
1433,M,736,624,526:554,A,WG,2012-07-30,2012-08-28,1
1441,M,1010,1012,784:687,B,GW,2012-08-06,2012-09-03,0
1457,F,1132,1131,784:687,B,GW,2012-08-08,2012-08-31,0
1464,F,1095,1097,686:791,B,WG,2012-08-10,2012-09-07,1
1471,M,1062,1059,686:791,B,WG,2012-08-14,2012-09-05,1
1479,M,1098,1099,686:791,B,WG,2012-08-15,2012-09-12,1
1487,M,1145,1150,686:791,B,WG,2012-08-15,2012-09-08,1
1495,F,1009,1012,784:687,B,GW,2012-08-16,2012-09-10,0
1503,M,1016,1013,686:791,B,WG,2012-08-16,2012-09-09,1
1414,F,1016,1013,686:791,B,WG,2012-07-28,2012-08-16,1
1423,F,1082,1080,784:687,B,GW,2012-07-28,2012-08-21,0
1434,F,736,624,526:554,A,WG,2012-07-30,2012-08-28,1
1442,F,1018,1015,686:791,B,WG,2012-08-07,2012-08-29,1
1450,M,1135,1133,784:687,B,GW,2012-08-08,2012-08-31,0
1458,M,1132,1131,784:687,B,GW,2012-08-08,2012-08-31,0
1465,M,1095,1097,686:791,B,WG,2012-08-10,2012-09-07,1
1472,M,1062,1059,686:791,B,WG,2012-08-14,2012-09-05,1
1480,F,1098,1099,686:791,B,WG,2012-08-15,2012-09-12,1
1488,M,1145,1150,686:791,B,WG,2012-08-15,2012-09-08,1
1496,F,1009,1012,784:687,B,GW,2012-08-16,2012-09-10,0
1504,F,1016,1013,686:791,B,WG,2012-08-16,2012-09-09,1
1416,F,1082,1080,784:687,B,GW,2012-07-28,2012-08-21,0
1427,F,736,624,526:554,A,WG,2012-07-30,2012-08-28,1
1435,F,736,624,526:554,A,WG,2012-07-30,2012-08-28,1
1443,F,1018,1015,686:791,B,WG,2012-08-07,2012-08-29,1
1451,M,1135,1133,784:687,B,GW,2012-08-08,2012-08-31,0
1459,M,1132,1131,784:687,B,GW,2012-08-08,2012-08-31,0
1466,F,1095,1097,686:791,B,WG,2012-08-10,2012-09-07,1
1473,M,1062,1059,686:791,B,WG,2012-08-14,2012-09-05,1
1481,M,1098,1099,686:791,B,WG,2012-08-15,2012-09-12,1
1489,F,1145,1150,686:791,B,WG,2012-08-15,2012-09-08,1
1497,F,1009,1012,784:687,B,GW,2012-08-16,2012-09-10,0
1505,M,1016,1013,686:791,B,WG,2012-08-16,2012-09-09,1
1417,M,1082,1080,784:687,B,GW,2012-07-28,2012-08-21,0
1428,F,736,624,526:554,A,WG,2012-07-30,2012-08-28,1
1436,F,1010,1012,784:687,B,GW,2012-08-06,2012-09-03,0
1444,M,1018,1015,686:791,B,WG,2012-08-07,2012-08-29,1
1452,F,1135,1133,784:687,B,GW,2012-08-08,2012-08-31,0
1467,M,1095,1097,686:791,B,WG,2012-08-10,2012-09-07,1
1474,M,1062,1059,686:791,B,WG,2012-08-14,2012-09-05,1
1482,M,1098,1099,686:791,B,WG,2012-08-15,2012-09-12,1
1490,M,1146,1144,686:791,B,WG,2012-08-15,2012-09-08,1
1498,M,1009,1012,784:687,B,GW,2012-08-16,2012-09-10,0
1506,F,1016,1013,686:791,B,WG,2012-08-16,2012-09-09,1
1418,F,1082,1080,784:687,B,GW,2012-07-28,2012-08-21,0
1429,M,736,624,526:554,A,WG,2012-07-30,2012-08-28,1
1437,M,1010,1012,784:687,B,GW,2012-08-06,2012-09-03,0
1445,M,1018,1015,686:791,B,WG,2012-08-07,2012-08-29,1
1453,M,1135,1133,784:687,B,GW,2012-08-08,2012-08-31,0
1460,M,1132,1131,784:687,B,GW,2012-08-08,2012-08-31,0
1475,M,1062,1059,686:791,B,WG,2012-08-14,2012-09-05,1
1483,M,1098,1099,686:791,B,WG,2012-08-15,2012-09-12,1
1491,F,1146,1144,686:791,B,WG,2012-08-15,2012-09-08,1
1499,F,1009,1012,784:687,B,GW,2012-08-16,2012-09-10,0
